vtip Pind Pprof Pshaft Pideal ctsig FM cdz Re stalled
18 14.870829 0.89178454 15.762614 12.729535 0.26392287 0.80757766 0.024752403 68880 1
18.5 14.870829 0.96289241 15.833722 12.729535 0.24984955 0.8039509 0.024617136 70793.333 1
19 14.870829 1.0375452 15.908374 12.729535 0.2368726 0.80017822 0.024486186 72706.667 1
19.5 14.870829 1.1158192 15.986648 12.729535 0.22488102 0.79626038 0.024359308 74620 1
20 14.870829 1.1977906 16.06862 12.729535 0.21377752 0.79219839 0.024236275 76533.333 1
20.5 14.870829 1.2835351 16.154364 12.729535 0.20347652 0.78799354 0.024116879 78446.667 1
21 14.870829 1.3731278 16.243957 12.729535 0.19390252 0.78364741 0.024000927 80360 1
21.5 14.870829 1.4666437 16.337473 12.729535 0.18498866 0.7791618 0.023888241 82273.333 1
22 14.870829 1.5641573 16.434987 12.729535 0.17667564 0.7745388 0.023778658 84186.667 1
22.5 14.870829 1.6657429 16.536572 12.729535 0.16891064 0.76978074 0.023672022 86100 1
23 14.870829 1.7714743 16.642304 12.729535 0.16164652 0.76489019 0.023568194 88013.333 1
23.5 14.870829 1.8814251 16.752254 12.729535 0.15484112 0.75986996 0.023467039 89926.667 1
24 14.870829 1.9956685 16.866498 12.729535 0.14845661 0.75472306 0.023368435 91840 1
24.5 14.870829 2.1142774 16.985107 12.729535 0.14245899 0.74945275 0.023272265 93753.333 1
25 14.870829 2.2373243 17.108154 12.729535 0.13681762 0.74406246 0.023178422 95666.667 0
25.5 14.870829 2.3648818 17.235711 12.729535 0.13150482 0.73855583 0.023086805 97580 0
26 14.870829 2.4970216 17.367851 12.729535 0.12649558 0.73293667 0.022997318 99493.333 0
26.5 14.870829 2.6338156 17.504645 12.729535 0.12176719 0.72720897 0.022909874 101406.67 0
27 14.870829 2.7753353 17.646165 12.729535 0.11729905 0.72137686 0.022824387 103320 0
27.5 14.870829 2.9216519 17.792481 12.729535 0.11307241 0.71544461 0.022740779 105233.33 0
28 14.870829 3.0728362 17.943665 12.729535 0.10907017 0.70941664 0.022658975 107146.67 0
28.5 14.870829 3.228959 18.099788 12.729535 0.10527671 0.70329744 0.022578906 109060 0
29 14.870829 3.3900907 18.26092 12.729535 0.10167778 0.69709165 0.022500505 110973.33 0
29.5 14.870829 3.5563015 18.427131 12.729535 0.098260281 0.69080395 0.02242371 112886.67 0
30 14.870829 3.7276612 18.59849 12.729535 0.095012233 0.68443914 0.022348461 114800 0
30.5 14.870829 3.9042397 18.775069 12.729535 0.091922612 0.67800203 0.022274702 116713.33 0
31 14.870829 4.0861064 18.956936 12.729535 0.088981279 0.6714975 0.02220238 118626.67 0
31.5 14.870829 4.2733304 19.14416 12.729535 0.086178896 0.66493045 0.022131444 120540 0
32 14.870829 4.4659809 19.33681 12.729535 0.083506845 0.65830583 0.022061847 122453.33 0
32.5 14.870829 4.6641267 19.534956 12.729535 0.080957169 0.65162854 0.021993543 124366.67 0
33 14.870829 4.8678362 19.738665 12.729535 0.078522506 0.64490352 0.021926488 126280 0
33.5 14.870829 5.0771779 19.948007 12.729535 0.076196043 0.63813566 0.021860642 128193.33 0
34 14.870829 5.29222 20.163049 12.729535 0.073971462 0.63132984 0.021795964 130106.67 0
34.5 14.870829 5.5130304 20.38386 12.729535 0.071842898 0.62449089 0.021732418 132020 0
35 14.870829 5.7396769 20.610506 12.729535 0.069804906 0.61762359 0.021669967 133933.33 0
35.5 14.870829 5.9722271 20.843056 12.729535 0.067852418 0.61073264 0.021608578 135846.67 0
36 14.870829 6.2107483 21.081577 12.729535 0.065980717 0.60382269 0.021548218 137760 0
36.5 14.870829 6.4553077 21.326137 12.729535 0.064185408 0.5968983 0.021488856 139673.33 0
37 14.870829 6.7059723 21.576801 12.729535 0.062462388 0.58996394 0.021430461 141586.67 0
37.5 14.870829 6.9628089 21.833638 12.729535 0.060807829 0.58302399 0.021373006 143500 0
38 14.870829 7.2258842 22.096713 12.729535 0.059218151 0.57608272 0.021316463 145413.33 0
38.5 14.870829 7.4952646 22.366094 12.729535 0.057690005 0.5691443 0.021260806 147326.67 0
39 14.870829 7.7710164 22.641846 12.729535 0.056220256 0.56221277 0.021206009 149240 0
39.5 14.870829 8.0532057 22.924035 12.729535 0.054805967 0.55529207 0.021152049 151153.33 0
40 14.870829 8.3418985 23.212728 12.729535 0.053444381 0.54838599 0.021098903 153066.67 0
40.5 14.870829 8.6371605 23.50799 12.729535 0.052132912 0.54149823 0.021046547 154980 0
41 14.870829 8.9390574 23.809887 12.729535 0.050869131 0.53463231 0.020994962 156893.33 0
41.5 14.870829 9.2476545 24.118484 12.729535 0.049650753 0.52779167 0.020944126 158806.67 0
42 14.870829 9.5630172 24.433846 12.729535 0.048475629 0.52097957 0.02089402 160720 0
42.5 14.870829 9.8852107 24.75604 12.729535 0.047341735 0.51419915 0.020844625 162633.33 0
43 14.870829 10.2143 25.085129 12.729535 0.046247166 0.50745343 0.020795922 164546.67 0
43.5 14.870829 10.550349 25.421179 12.729535 0.045190123 0.50074526 0.020747894 166460 0
44 14.870829 10.893424 25.764253 12.729535 0.04416891 0.49407738 0.020700524 168373.33 0
44.5 14.870829 11.243589 26.114418 12.729535 0.043181926 0.48745236 0.020653795 170286.67 0
45 14.870829 11.600907 26.471737 12.729535 0.042227659 0.48087267 0.020607693 172200 0
45.5 14.870829 11.965444 26.836274 12.729535 0.041304678 0.47434062 0.0205622 174113.33 0
46 14.870829 12.337264 27.208093 12.729535 0.04041163 0.46785839 0.020517304 176026.67 0
46.5 14.870829 12.71643 27.587259 12.729535 0.039547235 0.46142804 0.02047299 177940 0
47 14.870829 13.103006 27.973835 12.729535 0.03871028 0.45505147 0.020429244 179853.33 0
47.5 14.870829 13.497055 28.367885 12.729535 0.037899616 0.44873049 0.020386053 181766.67 0
48 14.870829 13.898643 28.769472 12.729535 0.037114153 0.44246675 0.020343404 183680 0
48.5 14.870829 14.307831 29.17866 12.729535 0.036352858 0.4362618 0.020301285 185593.33 0
49 14.870829 14.724683 29.595512 12.729535 0.035614748 0.43011706 0.020259683 187506.67 0
49.5 14.870829 15.149262 30.020091 12.729535 0.034898892 0.42403384 0.020218588 189420 0
50 14.870829 15.581632 30.452461 12.729535 0.034204404 0.41801333 0.020177988 191333.33 0
50.5 14.870829 16.021855 30.892684 12.729535 0.033530442 0.41205662 0.020137873 193246.67 0
51 14.870829 16.469993 31.340822 12.729535 0.032876205 0.40616467 0.020098231 195160 0
51.5 14.870829 16.92611 31.796939 12.729535 0.032240931 0.40033836 0.020059053 197073.33 0
52 14.870829 17.390268 32.261098 12.729535 0.031623894 0.39457848 0.020020329 198986.67 0
52.5 14.870829 17.878578 32.749407 12.729535 0.031024403 0.38869512 0.02 200900 0
53 14.870829 18.394274 33.265104 12.729535 0.030441798 0.38266933 0.02 202813.33 0
53.5 14.870829 18.919794 33.790623 12.729535 0.029875451 0.37671797 0.02 204726.67 0
54 14.870829 19.455228 34.326058 12.729535 0.029324763 0.37084174 0.02 206640 0
54.5 14.870829 20.000671 34.8715 12.729535 0.028789162 0.36504122 0.02 208553.33 0
55 14.870829 20.556214 35.427043 12.729535 0.028268102 0.35931689 0.02 210466.67 0
55.5 14.870829 21.12195 35.992779 12.729535 0.027761061 0.35366913 0.02 212380 0
56 14.870829 21.697971 36.568801 12.729535 0.027267541 0.34809823 0.02 214293.33 0
56.5 14.870829 22.284372 37.155201 12.729535 0.026787065 0.34260438 0.02 216206.67 0
57 14.870829 22.881243 37.752073 12.729535 0.026319178 0.33718771 0.02 218120 0
57.5 14.870829 23.488679 38.359508 12.729535 0.025863443 0.33184823 0.02 220033.33 0
58 14.870829 24.10677 38.9776 12.729535 0.025419444 0.32658591 0.02 221946.67 0
58.5 14.870829 24.735611 39.606441 12.729535 0.024986781 0.32140062 0.02 223860 0
59 14.870829 25.375294 40.246123 12.729535 0.02456507 0.3162922 0.02 225773.33 0
59.5 14.870829 26.025912 40.896741 12.729535 0.024153947 0.31126037 0.02 227686.67 0
60 14.870829 26.687556 41.558385 12.729535 0.023753058 0.30630485 0.02 229600 0
60.5 14.870829 27.36032 42.231149 12.729535 0.023362068 0.30142525 0.02 231513.33 0
61 14.870829 28.044297 42.915126 12.729535 0.022980653 0.29662117 0.02 233426.67 0
61.5 14.870829 28.739579 43.610408 12.729535 0.022608503 0.29189213 0.02 235340 0
62 14.870829 29.446259 44.317088 12.729535 0.02224532 0.28723762 0.02 237253.33 0
62.5 14.870829 30.164429 45.035258 12.729535 0.021890818 0.28265709 0.02 239166.67 0
63 14.870829 30.894182 45.765011 12.729535 0.021544724 0.27814993 0.02 241080 0
63.5 14.870829 31.635611 46.50644 12.729535 0.021206773 0.27371553 0.02 242993.33 0
64 14.870829 32.388809 47.259638 12.729535 0.020876711 0.2693532 0.02 244906.67 0
64.5 14.870829 33.153867 48.024697 12.729535 0.020554296 0.26506226 0.02 246820 0
65 14.870829 33.93088 48.801709 12.729535 0.020239292 0.26084199 0.02 248733.33 0
65.5 14.870829 34.719939 49.590768 12.729535 0.019931475 0.25669162 0.02 250646.67 0
66 14.870829 35.521137 50.391966 12.729535 0.019630627 0.2526104 0.02 252560 0
66.5 14.870829 36.334567 51.205396 12.729535 0.019336539 0.24859753 0.02 254473.33 0
67 14.870829 37.160321 52.031151 12.729535 0.019049011 0.24465219 0.02 256386.67 0
