x y
0.25 0
0.25 0.5692375
0.5692375 0.5692375
0.5692375 0.75439521
0.75439521 0.75439521
0.75439521 0.87295153
0.87295153 0.87295153
0.87295153 0.95245675
0.95245675 0.95245675
0.95245675 1.0072212
1.0072212 1.0072212
1.0072212 1.0455885
1.0455885 1.0455885
1.0455885 1.0727723
1.0727723 1.0727723
1.0727723 1.092181
1.092181 1.092181
1.092181 1.1061129
1.1061129 1.1061129
1.1061129 1.1161514
1.1161514 1.1161514
1.1161514 1.123404
1.123404 1.123404
1.123404 1.128654
1.128654 1.128654
1.128654 1.1324596
1.1324596 1.1324596
1.1324596 1.1352209
1.1352209 1.1352209
