x y
5.8070693 5.8070693
5.8070693 5.7382799
5.7382799 5.7382799
5.7382799 5.6569806
5.6569806 5.6569806
5.6569806 5.5613303
5.5613303 5.5613303
5.5613303 5.4494021
5.4494021 5.4494021
5.4494021 5.3192654
5.3192654 5.3192654
5.3192654 5.1691077
5.1691077 5.1691077
5.1691077 4.9974041
4.9974041 4.9974041
4.9974041 4.8031348
4.8031348 4.8031348
4.8031348 4.5860447
4.5860447 4.5860447
4.5860447 4.3469266
4.3469266 4.3469266
4.3469266 4.0878874
4.0878874 4.0878874
4.0878874 3.8125437
3.8125437 3.8125437
3.8125437 3.5260726
3.5260726 3.5260726
3.5260726 3.2350499
3.2350499 3.2350499
