m phi S slope
0.4 1.5230683 0.6887726 0.13644099
0.45 1.5300157 0.69571999 0.1413514
0.5 1.5371942 0.70289849 0.14570581
0.55 1.5445788 0.71028312 0.14961205
0.6 1.5521493 0.71785358 0.15315111
0.65 1.5598889 0.72559315 0.15638505
0.7 1.5677835 0.73348781 0.15936217
0.75 1.5758215 0.74152573 0.16212071
0.8 1.5839925 0.74969676 0.16469129
0.85 1.5922879 0.75799214 0.16709878
0.9 1.6007 0.76640426 0.16936356
0.95 1.6092221 0.7749264 0.17150255
1 1.61673 0.78243429 0.1380073
1.05 1.6236038 0.7893081 0.13695807
1.1 1.630427 0.79613131 0.13598199
1.15 1.6372031 0.80290739 0.13507151
1.2 1.6439352 0.80963945 0.13422014
1.25 1.650626 0.8163303 0.13342226
1.3 1.6572782 0.82298248 0.13267296
1.35 1.6638941 0.82959833 0.13196797
1.4 1.6704757 0.83617996 0.1313035
1.45 1.677025 0.8427293 0.13067623
1.5 1.6835439 0.84924815 0.13008318
1.55 1.6900339 0.85573815 0.12952173
1.6 1.6988343 0.86453858 0.20200817
1.65 1.708922 0.87462625 0.20150305
1.7 1.718985 0.8846893 0.20102311
1.75 1.7290247 0.89472895 0.20056663
1.8 1.7390421 0.90474633 0.20013204
1.85 1.7490382 0.9147425 0.19971792
1.9 1.7590142 0.92471844 0.19932297
1.95 1.7689708 0.93467509 0.198946
2 1.778909 0.94461332 0.19858593
2.05 1.7888297 0.95453395 0.19824176
2.1 1.7987335 0.96443775 0.19791256
2.15 1.8086212 0.97432544 0.19759751
2.2 1.8184934 0.98419772 0.19729581
2.25 1.828351 0.99405524 0.19700674
2.3 1.8381943 1.0038986 0.19672964
2.35 1.8480241 1.0137284 0.19646388
2.4 1.8578409 1.0235452 0.19620889
2.45 1.8676452 1.0333494 0.19596413
2.5 1.8774375 1.0431417 0.19572909
2.55 1.8872182 1.0529225 0.19550332
2.6 1.8969879 1.0626922 0.19528638
2.65 1.906747 1.0724513 0.19507785
2.7 1.9164959 1.0822001 0.19487735
2.75 1.9262349 1.0919392 0.19468453
2.8 1.9359644 1.1016687 0.19449903
2.85 1.9456849 1.1113892 0.19432056
2.9 1.9553966 1.1211009 0.1941488
2.95 1.9650999 1.1308042 0.19398347
3 1.9747951 1.1404993 0.19382432
3.05 1.9844824 1.1501867 0.19367108
3.1 1.9941623 1.1598665 0.19352352
3.15 2.0038349 1.1695391 0.19338142
3.2 2.0135005 1.1792048 0.19324455
