m F0 F1 F2 M0 M1 M2
0 0 0 0 0.58949717 0.59384689 0.60037147
0.12255012 0.074837391 0.07431983 0.073543489 0.58949717 0.59384689 0.60037147
0.24510023 0.14538717 0.14392328 0.14172746 0.58949717 0.59384689 0.60037147
0.36765035 0.21314574 0.21045642 0.20642243 0.58949717 0.59384689 0.60037147
0.49020047 0.27864712 0.27450663 0.2682959 0.58949717 0.59384689 0.60037147
0.61275059 0.34219992 0.33641341 0.32773365 0.58949717 0.59384689 0.60037147
0.7353007 0.40401238 0.39640582 0.38499597 0.58949717 0.59384689 0.60037147
0.85785082 0.46423736 0.454652 0.44027395 0.58949717 0.59384689 0.60037147
0.98040094 0.52299331 0.51128224 0.49371564 0.58949717 0.59384689 0.60037147
1.1029511 0.58037553 0.56640138 0.54544015 0.58949717 0.59384689 0.60037147
1.2255012 0.63646284 0.62009612 0.59554604 0.58949717 0.59384689 0.60037147
1.3480513 0.69132187 0.67243976 0.64411658 0.58949717 0.59384689 0.60037147
1.4706014 0.74500992 0.72349531 0.6912234 0.58949717 0.59384689 0.60037147
1.5931515 0.79757693 0.77331772 0.73692891 0.58949717 0.59384689 0.60037147
1.7157016 0.84906695 0.82195545 0.78128819 0.58949717 0.59384689 0.60037147
1.8382518 0.89951921 0.86945163 0.82435026 0.58949717 0.59384689 0.60037147
1.9608019 0.94896894 0.91584503 0.86615917 0.58949717 0.59384689 0.60037147
2.083352 0.997448 0.9611707 0.90675474 0.58949717 0.59384689 0.60037147
2.2059021 1.0449854 1.0054605 0.94617325 0.58949717 0.59384689 0.60037147
2.3284522 1.0916077 1.0487438 0.98444788 0.58949717 0.59384689 0.60037147
2.4510023 1.1373393 1.0910473 1.0216092 0.58949717 0.59384689 0.60037147
2.5735525 1.1822028 1.1323958 1.0576853 0.58949717 0.59384689 0.60037147
2.6961026 1.2262192 1.1728125 1.0927025 0.58949717 0.59384689 0.60037147
2.8186527 1.2694078 1.2123187 1.126685 0.58949717 0.59384689 0.60037147
2.9412028 1.311787 1.2509345 1.1596557 0.58949717 0.59384689 0.60037147
3.0637529 1.3533737 1.2886786 1.1916359 0.58949717 0.59384689 0.60037147
3.186303 1.394184 1.3255686 1.2226455 0.58949717 0.59384689 0.60037147
3.3088532 1.434233 1.3616212 1.2527034 0.58949717 0.59384689 0.60037147
3.4314033 1.4735348 1.3968519 1.2818275 0.58949717 0.59384689 0.60037147
3.5539534 1.5121031 1.4312757 1.3100346 0.58949717 0.59384689 0.60037147
3.6765035 1.5499504 1.4649065 1.3373405 0.58949717 0.59384689 0.60037147
3.7990536 1.587089 1.4977576 1.3637605 0.58949717 0.59384689 0.60037147
3.9216038 1.6235304 1.5298419 1.389309 0.58949717 0.59384689 0.60037147
4.0441539 1.6592856 1.5611712 1.4139997 0.58949717 0.59384689 0.60037147
4.166704 1.694365 1.5917573 1.4378457 0.58949717 0.59384689 0.60037147
4.2892541 1.7287786 1.621611 1.4608595 0.58949717 0.59384689 0.60037147
4.4118042 1.7625361 1.6507429 1.4830531 0.58949717 0.59384689 0.60037147
4.5343543 1.7956466 1.6791632 1.504438 0.58949717 0.59384689 0.60037147
4.6569045 1.828119 1.7068815 1.5250252 0.58949717 0.59384689 0.60037147
4.7794546 1.8599616 1.733907 1.5448252 0.58949717 0.59384689 0.60037147
4.9020047 1.8911826 1.7602489 1.5638482 0.58949717 0.59384689 0.60037147
5.0245548 1.9217898 1.7859155 1.582104 0.58949717 0.59384689 0.60037147
5.1471049 1.9517908 1.8109153 1.599602 0.58949717 0.59384689 0.60037147
