p t tdirect x
-0.25 0.87173755 0.87173755 1.0958811
-0.225 0.87273199 0.87273199 1.1097927
-0.2 0.87385937 0.87385937 1.1243017
-0.175 0.87512445 0.87512445 1.1394466
-0.15 0.87653228 0.87653228 1.155269
-0.125 0.87808821 0.87808821 1.1718144
-0.1 0.87979794 0.87979794 1.1891324
-0.075 0.8816675 0.8816675 1.2072774
-0.05 0.88370334 0.88370334 1.2263088
-0.025 0.88591232 0.88591232 1.2462919
-5.5511151e-17 0.88830175 0.88830175 1.2672986
0.025 0.89087944 0.89087944 1.2894083
0.05 0.89365377 0.89365377 1.3127085
0.075 0.89663367 0.89663367 1.3372966
0.1 0.89982876 0.89982876 1.3632807
0.125 0.90324935 0.90324935 1.3907814
0.15 0.90690653 0.90690653 1.4199332
0.175 0.91081227 0.91081227 1.4508876
0.2 0.91497948 0.91497948 1.4838147
0.225 0.91942212 0.91942212 1.5189069
0.25 0.92415532 0.92415532 1.5563822
0.275 0.92919551 0.92919551 1.5964889
0.3 0.93456058 0.93456058 1.6395111
0.325 0.94027002 0.94027002 1.6857751
0.35 0.94634516 0.94634516 1.7356576
0.375 0.95280939 0.95280939 1.7895958
0.4 0.95968841 0.95968841 1.8481002
0.425 0.96701058 0.96701058 1.9117708
0.45 0.97480727 0.97480727 1.9813166
0.475 0.98311332 0.98311332 2.0575827
0.5 0.99196756 0.99196756 2.1415839
0.525 1.0014135 1.0014135 2.2345495
0.55 1.0115 1.0115 2.3379828
0.575 1.0222823 1.0222823 2.4537428
0.6 1.0338233 1.0338233 2.5841547
0.625 1.0461948 1.0461948 2.7321661
0.65 1.0594796 1.0594796 2.9015695
0.675 1.0737739 1.0737739 3.0973291
0.7 1.0891903 1.0891903 3.3260682
0.725 1.105862 1.105862 3.5968266
0.75 1.1239488 1.1239488 3.9222704
0.775 1.1436451 1.1436451 4.3207103
0.8 1.1651911 1.1651911 4.8196356
0.825 1.1888903 1.1888903 5.4622799
0.85 1.2151365 1.2151365 6.3207636
0.875 1.2444591 1.2444591 7.5250121
0.9 1.2776032 1.2776032 9.3351082
0.925 1.3156928 1.3156928 12.358449
0.95 1.3606168 1.3606168 18.418869
0.975 1.4162703 1.4162703 36.644362
0.985 1.4436345 1.4436345 60.98098
0.99 1.4592172 1.4592172 91.422257
