ratio gap rate iters
0.05 0.95 0.44956404 18
0.075 0.925 0.47020546 19
0.1 0.9 0.48804635 20
0.125 0.875 0.50412848 20
0.15 0.85 0.51898654 21
0.175 0.825 0.53293887 22
0.2 0.8 0.54619379 23
0.225 0.775 0.55889698 24
0.25 0.75 0.57115557 25
0.275 0.725 0.58305153 26
0.3 0.7 0.59464972 27
0.325 0.675 0.60600294 28
0.35 0.65 0.61715532 29
0.375 0.625 0.62814462 30
0.4 0.6 0.63900392 31
0.425 0.575 0.64976282 32
0.45 0.55 0.66044842 33
0.475 0.525 0.67108607 34
0.5 0.5 0.6817 36
0.525 0.475 0.69231393 37
0.55 0.45 0.70295158 39
0.575 0.425 0.71363718 40
0.6 0.4 0.72439608 42
0.625 0.375 0.73525538 44
0.65 0.35 0.74624468 46
0.675 0.325 0.75739706 48
0.7 0.3 0.76875028 51
0.725 0.275 0.78034847 54
0.75 0.25 0.79224443 57
0.775 0.225 0.80450302 61
0.8 0.2 0.81720621 66
0.825 0.175 0.83046113 71
0.85 0.15 0.84441346 78
0.875 0.125 0.85927152 86
0.9 0.1 0.87535365 98
0.9 0.1 0.87535365 98
0.93187079 0.068129207 0.89852255 120
0.95358411 0.046415888 0.91713897 147
0.96837722 0.031622777 0.9321888 179
0.97845565 0.021544347 0.94440997 217
0.98532201 0.014677993 0.9543677 263
0.99 0.01 0.96250226 317
0.99318708 0.0068129207 0.96916093 382
0.99535841 0.0046415888 0.97462016 458
0.99683772 0.0031622777 0.97910169 550
0.99784557 0.0021544347 0.98278436 659
0.9985322 0.0014677993 0.98581303 789
0.999 0.001 0.9883055 943
0.99931871 0.00068129207 0.99035779 1127
0.99953584 0.00046415888 0.99204839 1345
0.99968377 0.00031622777 0.99344153 1605
0.99978456 0.00021544347 0.99458989 1913
0.99985322 0.00014677993 0.99553669 2278
0.9999 0.0001 0.99631748 2712
0.99993187 6.8129207e-05 0.99696146 3227
0.99995358 4.6415888e-05 0.99749268 3838
0.99996838 3.1622777e-05 0.99793092 4561
0.99997846 2.1544347e-05 0.9982925 5418
0.99998532 1.4677993e-05 0.99859084 6432
0.99999 1e-05 0.99883702 7632
