x p0 p1 p2 p3 p4
0.3 nan nan nan nan nan
0.30523902 nan nan nan nan nan
0.31056953 nan nan nan nan nan
0.31599313 nan nan nan nan nan
0.32151145 nan nan nan nan nan
0.32712613 nan nan nan nan nan
0.33283887 nan nan nan nan nan
0.33865137 nan nan nan nan nan
0.34456537 nan nan nan nan nan
0.35058266 nan nan nan nan nan
0.35670502 nan nan nan nan nan
0.36293431 nan nan nan nan nan
0.36927237 nan nan nan nan nan
0.37572113 0.017626973 0.01465938 0.013315236 0.012064981 0.010907493
0.3822825 0.047907783 0.039930097 0.03631556 0.032951741 0.029835214
0.38895845 0.077555321 0.064786474 0.058998964 0.053609887 0.048613157
0.39575099 0.10657016 0.08922952 0.081366325 0.074040108 0.067241859
0.40266215 0.1349533 0.11326042 0.10341862 0.094243143 0.085721881
0.409694 0.16270622 0.13688053 0.12515692 0.11421978 0.1040538
0.41684865 0.18983077 0.16009137 0.14658239 0.13397087 0.12223824
0.42412824 0.21632923 0.18289461 0.1676963 0.15349729 0.14027581
0.43153497 0.24220429 0.20529209 0.18849999 0.17279999 0.15816718
0.43907104 0.267459 0.22728579 0.20899488 0.19187993 0.17591301
0.44673871 0.29209679 0.24887784 0.2291825 0.21073815 0.193514
0.45454029 0.31612142 0.27007049 0.24906445 0.2293757 0.21097086
0.46247811 0.33953702 0.29086615 0.26864238 0.2477937 0.22828432
0.47055455 0.36234803 0.31126733 0.28791804 0.2659933 0.24545514
0.47877203 0.38455919 0.33127668 0.30689325 0.28397566 0.26248408
0.48713302 0.40617555 0.35089696 0.32556989 0.30174202 0.27937193
0.49564002 0.42720244 0.37013104 0.34394991 0.31929363 0.2961195
0.50429558 0.44764544 0.38898191 0.36203531 0.33663177 0.3127276
0.5131023 0.4675104 0.40745264 0.37982816 0.35375777 0.32919706
0.52206281 0.4868034 0.42554642 0.39733059 0.37067297 0.34552875
0.53117981 0.50553074 0.4432665 0.41454478 0.38737876 0.36172351
0.54045601 0.52369894 0.46061624 0.43147296 0.40387654 0.37778223
0.54989421 0.5413147 0.47759908 0.4481174 0.42016774 0.3937058
0.55949724 0.55838491 0.49421853 0.46448044 0.43625383 0.40949512
0.56926796 0.57491663 0.51047818 0.48056443 0.4521363 0.42515111
0.57920932 0.59091708 0.52638166 0.49637179 0.46781664 0.44067468
0.58932428 0.6063936 0.5419327 0.51190497 0.48329638 0.45606679
0.59961589 0.62135369 0.55713507 0.52716645 0.49857709 0.47132836
0.61008723 0.63580495 0.57199259 0.54215874 0.51366031 0.48646037
0.62074142 0.64975508 0.58650913 0.5568844 0.52854765 0.50146378
0.63158168 0.6632119 0.60068862 0.571346 0.5432407 0.51633956
0.64261125 0.67618327 0.61453502 0.58554614 0.55774109 0.5310887
0.65383343 0.68867717 0.62805231 0.59948747 0.57205044 0.54571218
0.66525158 0.7007016 0.64124455 0.61317262 0.58617041 0.560211
0.67686914 0.71226463 0.65411577 0.62660427 0.60010266 0.57458617
0.68868958 0.72337437 0.66667008 0.63978511 0.61384886 0.5888387
0.70071644 0.73403897 0.67891157 0.65271784 0.62741069 0.6029696
0.71295333 0.74426658 0.69084439 0.6654052 0.64078984 0.6169799
0.72540393 0.75406538 0.70247267 0.6778499 0.65398802 0.63087063
