tmin Mmax M0
5 101.98991 0.55324953
5.3419347 89.351132 0.5537453
5.7072532 78.278577 0.55427498
6.0975548 68.578153 0.55484088
6.5145479 60.079823 0.55544548
6.9600578 52.634622 0.55609143
7.4360348 46.112044 0.55678155
7.9445625 40.397755 0.55751887
8.4878668 35.391592 0.55830661
9.0683259 31.005801 0.55914822
9.688481 27.163506 0.56004738
10.351046 23.797355 0.56100804
11.058923 20.848343 0.5620344
11.815209 18.264779 0.56313094
12.623215 16.001374 0.56430247
13.486478 14.018455 0.56555412
14.408776 12.281262 0.56689137
15.394148 10.759346 0.56832006
16.446907 9.426028 0.56984647
17.571661 8.2579374 0.57147725
18.773333 7.2345988 0.57321956
20.057183 6.3380741 0.57508103
21.428833 5.5526484 0.57706979
22.894285 4.8645541 0.57919456
24.459955 4.2617297 0.58146463
26.132696 3.7336084 0.58388995
27.919831 3.2709328 0.58648112
29.829183 2.8655929 0.5892495
31.869109 2.5104834 0.5922072
34.04854 2.1993797 0.59536717
36.377015 1.9268286 0.59874324
38.864728 1.6880525 0.60235019
41.522567 1.4788659 0.60620381
44.362169 1.2956022 0.61032096
47.395961 1.1350488 0.61471968
50.637226 0.99439148 0.61941921
54.100151 0.87116467 0.62444012
57.799894 0.76320836 0.6298044
61.752652 0.66863019 0.63553553
65.975726 0.58577232 0.64165859
70.487604 0.51318235 0.64820038
75.308035 0.44958785 0.65518955
80.458121 0.39387411 0.66265669
85.960405 0.34506451 0.67063449
91.838974 0.30230349 0.67915786
98.11956 0.26484149 0.68826411
104.82966 0.23202185 0.69799312
111.99863 0.20326928 0.70838747
119.65788 0.17807978 0.71949265
127.84091 0.15601181 0.73135728
136.58356 0.13667854 0.74403329
145.92409 0.11974109 0.75757618
155.90339 0.10490255 0.77204523
166.56515 0.091902838 0.78750377
177.95603 0.080514071 0.80401947
190.1259 0.070536621 0.82166463
203.12802 0.061795594 0.84051649
217.01933 0.054137772 0.86065757
231.86061 0.04742892 0.88217604
247.71685 0.041551442 0.90516609
264.65745 0.036402312 0.92972836
282.75656 0.031891271 0.95597036
302.09341 0.027939246 0.98400698
322.75266 0.024476964 1.0139609
344.82472 0.021443734 1.0459633
368.40623 0.018786388 1.0801543
393.6004 0.016458344 1.1166835
420.51753 0.014418796 1.1557108
449.27543 0.012631993 1.197407
480 0.011066613 1.2419548
