f A
10 -70.43494
10.389343 -69.241415
10.793845 -68.056321
11.214096 -66.880049
11.650709 -65.71299
12.104322 -64.555533
12.575595 -63.408065
13.065217 -62.270965
13.573902 -61.144604
14.102393 -60.02934
14.65146 -58.925516
15.221905 -57.833461
15.814559 -56.75348
16.430288 -55.685858
17.06999 -54.630855
17.734598 -53.588704
18.425083 -52.559608
19.142451 -51.543741
19.887749 -50.541244
20.662065 -49.552228
21.466528 -48.576768
22.302313 -47.614908
23.170638 -46.666661
24.072771 -45.732006
25.010028 -44.810894
25.983776 -43.903246
26.995436 -43.008957
28.046485 -42.127899
29.138456 -41.259921
30.272942 -40.404854
31.451598 -39.562515
32.676144 -38.732704
33.948367 -37.915214
35.270124 -37.109831
36.643342 -36.316337
38.070025 -35.534511
39.552256 -34.764135
41.092196 -34.004995
42.692092 -33.25688
44.354279 -32.51959
46.081183 -31.792933
47.875322 -31.076726
49.739315 -30.3708
51.675881 -29.674997
53.687846 -28.989171
55.778145 -28.313191
57.949829 -27.646935
60.206066 -26.990298
62.550148 -26.343182
64.985495 -25.705502
67.515661 -25.077182
70.144337 -24.458155
72.875358 -23.84836
75.71271 -23.247743
78.660533 -22.656251
81.723127 -22.073837
84.90496 -21.500453
88.210677 -20.93605
91.645099 -20.380577
95.213238 -19.83398
98.9203 -19.296199
102.77169 -18.76717
106.77304 -18.246822
110.93017 -17.735075
115.24917 -17.231843
119.73631 -16.737032
124.39816 -16.250539
129.24152 -15.772255
134.27345 -15.302062
139.5013 -14.839838
144.93268 -14.385452
150.57554 -13.938773
156.43809 -13.499662
162.5289 -13.067981
168.85685 -12.643589
175.43118 -12.226348
182.26147 -11.816119
189.3577 -11.412767
196.73021 -11.016164
204.38976 -10.626186
212.34754 -10.242715
220.61515 -9.8656422
229.20465 -9.4948692
238.12857 -9.1303064
247.39994 -8.7718755
257.03229 -8.4195096
267.03967 -8.0731541
277.43667 -7.7327665
288.23848 -7.3983171
299.46085 -7.0697886
311.12015 -6.7471766
323.2334 -6.4304884
335.81827 -6.1197437
348.89312 -5.814973
362.47704 -5.5162176
376.58983 -5.2235284
391.2521 -4.9369649
406.48523 -4.6565941
422.31146 -4.3824895
438.75386 -4.1147291
455.83644 -3.8533948
473.58412 -3.5985699
492.0228 -3.3503383
511.17937 -3.1087824
531.08178 -2.8739817
551.75909 -2.646011
573.24145 -2.4249387
595.56021 -2.2108256
618.74794 -2.0037232
642.83847 -1.8036724
667.86694 -1.6107026
693.86988 -1.4248303
720.88523 -1.2460587
748.9524 -1.0743768
778.11235 -0.90975932
808.40762 -0.75216636
839.88242 -0.60154362
872.58266 -0.45782266
906.55607 -0.32092146
941.85221 -0.19074513
978.52258 -0.067186886
1016.6207 0.049870933
1056.2021 0.1605556
1097.3246 0.26500271
1140.0482 0.36335471
1184.4352 0.4557595
1230.5504 0.54236886
1278.461 0.62333699
1328.237 0.69881896
1379.951 0.76896928
1433.6784 0.83394044
1489.4977 0.89388157
1547.4903 0.94893712
1607.7408 0.99924567
1670.3371 1.0449388
1735.3705 1.08614
1802.936 1.1229637
1873.132 1.1555145
1946.0611 1.1838862
2021.8297 1.2081611
2100.5482 1.2284094
2182.3316 1.2446887
2267.2992 1.2570432
2355.575 1.2655034
2447.2877 1.2700856
2542.5711 1.2707914
2641.5644 1.2676076
2744.4119 1.2605055
2851.2637 1.2494411
2962.2757 1.2343541
3077.6099 1.2151686
3197.4345 1.1917921
3321.9244 1.1641155
3451.2613 1.1320135
3585.6337 1.0953438
3725.2379 1.0539475
3870.2775 1.007649
4020.9641 0.95625601
4177.5176 0.89955998
4340.1664 0.8373361
4509.1478 0.76934381
4684.7084 0.69532724
4867.1043 0.61501585
5056.6016 0.52812519
5253.4769 0.43435781
5458.0175 0.33340435
5670.5216 0.22494483
5891.2995 0.10865007
6120.6732 -0.015816606
6358.9774 -0.14879755
6606.5598 -0.29063875
6863.7817 -0.44168754
7131.0184 -0.60229022
7408.6597 -0.77278948
7697.1107 -0.95352163
7996.7925 -1.1448138
8308.1421 -1.3469809
8631.6139 -1.560323
8967.6799 -1.7851219
9316.8303 -2.0216385
9679.5747 -2.2701102
10056.442 -2.5307478
10447.983 -2.8037335
10854.768 -3.0892184
11277.391 -3.387321
11716.469 -3.6981255
12172.641 -4.0216806
12646.575 -4.357999
13138.96 -4.707057
13650.517 -5.0687948
14181.99 -5.4431169
14734.156 -5.829893
15307.821 -6.22896
15903.82 -6.6401228
16523.024 -7.0631572
17166.337 -7.4978116
17834.697 -7.9438098
18529.078 -8.4008538
19250.495 -8.8686263
20000 -9.3467938
