tf m menergy mpower mbat
1 1.5879466 0.0086738503 0.17984369 0.17984369
2 1.5879466 0.017347701 0.17984369 0.17984369
3 1.5879466 0.026021551 0.17984369 0.17984369
4 1.5879466 0.034695401 0.17984369 0.17984369
5 1.5879466 0.043369252 0.17984369 0.17984369
6 1.5879466 0.052043102 0.17984369 0.17984369
7 1.5879466 0.060716952 0.17984369 0.17984369
8 1.5879466 0.069390802 0.17984369 0.17984369
9 1.5879466 0.078064653 0.17984369 0.17984369
10 1.5879466 0.086738503 0.17984369 0.17984369
11 1.5879466 0.095412353 0.17984369 0.17984369
12 1.5879466 0.1040862 0.17984369 0.17984369
13 1.5879466 0.11276005 0.17984369 0.17984369
14 1.5879466 0.1214339 0.17984369 0.17984369
15 1.5879466 0.13010775 0.17984369 0.17984369
16 1.5879466 0.1387816 0.17984369 0.17984369
17 1.5879466 0.14745546 0.17984369 0.17984369
18 1.5879466 0.15612931 0.17984369 0.17984369
19 1.5879466 0.16480316 0.17984369 0.17984369
20 1.5879466 0.17347701 0.17984369 0.17984369
21 1.5914638 0.18264995 0.18038987 0.18264995
22 1.6048668 0.19334523 0.18247664 0.19334523
23 1.6185634 0.20427661 0.18461786 0.20427661
24 1.6325653 0.21545371 0.18681596 0.21545371
25 1.6468853 0.22688674 0.18907349 0.22688674
26 1.6615368 0.23858654 0.19139318 0.23858654
27 1.6765342 0.25056464 0.19377794 0.25056464
28 1.6918925 0.26283333 0.19623088 0.26283333
29 1.7076282 0.2754057 0.19875533 0.2754057
30 1.7237584 0.28829572 0.20135486 0.28829572
31 1.7403017 0.30151836 0.20403328 0.30151836
32 1.7572781 0.31508962 0.2067947 0.31508962
33 1.7747087 0.32902668 0.20964354 0.32902668
34 1.7926164 0.343348 0.21258457 0.343348
35 1.8110259 0.35807344 0.21562293 0.35807344
36 1.8299637 0.37322443 0.2187642 0.37322443
37 1.8494585 0.38882411 0.22201441 0.38882411
38 1.8695413 0.40489756 0.22538013 0.40489756
39 1.8902458 0.42147197 0.2288685 0.42147197
40 1.9116087 0.43857691 0.23248733 0.43857691
41 1.93367 0.45624465 0.23624515 0.45624465
42 1.9564732 0.47451042 0.24015134 0.47451042
43 1.9800662 0.49341289 0.2442162 0.49341289
44 2.0045018 0.51299454 0.24845112 0.51299454
45 2.0298378 0.53330221 0.2528687 0.53330221
46 2.0561385 0.55438777 0.25748294 0.55438777
47 2.0834752 0.57630881 0.26230947 0.57630881
48 2.1119274 0.59912955 0.26736576 0.59912955
49 2.1415842 0.62292188 0.27267151 0.62292188
50 2.1725455 0.64776671 0.27824893 0.64776671
51 2.2049248 0.67375549 0.28412327 0.67375549
52 2.2388505 0.70099217 0.29032337 0.70099217
53 2.2744699 0.72959564 0.29688237 0.72959564
54 2.3119524 0.75970276 0.3038386 0.75970276
55 2.3514942 0.79147224 0.31123673 0.79147224
56 2.393325 0.82508963 0.31912929 0.82508963
57 2.4377156 0.86077385 0.32757857 0.86077385
58 2.484989 0.89878588 0.33665922 0.89878588
59 2.5355345 0.93944054 0.34646183 0.93944054
60 2.5898283 0.98312273 0.35709782 0.98312273
61 2.6484617 1.0303105 0.3687064 1.0303105
62 2.7121828 1.0816088 0.38146486 1.0816088
63 2.7819592 1.1378 0.39560403 1.1378
64 2.8590768 1.1999239 0.41143279 1.1999239
65 2.9453025 1.2694096 0.4293787 1.2694096
66 3.0431713 1.3483072 0.45005984 1.3483072
67 3.1565346 1.4397318 0.47442291 1.4397318
68 3.2917346 1.5488137 0.50404042 1.5488137
69 3.4605789 1.6851042 0.54186723 1.6851042
70 3.6906208 1.8708635 0.59490685 1.8708635
