Q mmot mlin
0.02 7.8130572 3.6363636
0.021447845 8.2446074 3.8996082
0.023000503 8.6999941 4.1819097
0.024665562 9.1805339 4.4846476
0.026451157 9.687616 4.8093013
0.028366016 10.222707 5.1574575
0.030419497 10.787353 5.5308175
0.032621633 11.383186 5.9312059
0.034983186 12.011931 6.3605793
0.037515698 12.675404 6.8210361
0.040231545 13.375523 7.3148263
0.043143997 14.114313 7.8443631
0.046267288 14.89391 8.4122343
0.049616682 15.716568 9.0212149
0.053208546 16.584665 9.6742811
0.057060433 17.50071 10.374624
0.061191166 18.467353 11.125667
0.065620933 19.487388 11.931079
0.070371381 20.563764 12.794797
0.075465724 21.699593 13.721041
0.080928859 22.898159 14.714338
0.086787482 24.162927 15.779542
0.093070224 25.497554 16.921859
0.099807788 26.905898 18.14687
0.1070331 28.392032 19.460563
0.11478147 29.960251 20.869358
0.12309076 31.61509 22.380138
0.13200157 33.361334 24.000286
0.14155747 35.20403 25.737721
0.15180513 37.148506 27.600933
0.16279465 39.200385 29.599027
0.17457972 41.365599 31.741768
0.18721794 43.650406 34.039626
0.20077107 46.061414 36.503831
0.21530534 48.605593 39.146426
0.23089178 51.290298 41.980324
0.24760656 54.123292 45.019375
0.26553136 57.112764 48.278429
0.28475378 60.267359 51.773414
0.30536775 63.596195 55.521408
0.32747401 67.108899 59.540729
0.35118059 70.815625 63.851017
0.37660335 74.72709 68.473336
0.40386652 78.854602 73.430276
0.43310333 83.210096 78.746059
0.46445666 87.806163 84.446665
0.49807972 92.656092 90.55995
0.53413684 97.773904 97.115789
0.57280421 103.1744 104.14622
0.6142708 108.87318 111.6856
0.65873926 114.88674 119.77077
0.70642688 121.23245 128.44125
0.75756672 127.92866 137.7394
0.81240869 134.99473 147.71067
0.87122079 142.4511 158.40378
0.93429043 150.31931 169.87099
1.0019258 158.62212 182.16833
1.0744575 167.38353 195.35591
1.1522399 176.62888 209.49817
1.2356532 186.38488 224.66421
1.3251049 196.67976 240.92816
1.4210322 207.54326 258.3695
1.523904 219.00681 277.07345
1.6342228 231.10354 297.13142
1.7525279 243.86843 318.64144
1.8793974 257.33838 341.70861
2.0154512 271.55233 366.44567
2.1613542 286.55138 392.9735
2.3178196 302.3789 421.42174
2.4856118 319.08065 451.92941
2.6655508 336.7049 484.6456
2.8585161 355.30263 519.73019
3.0654505 374.92759 557.35464
3.2873654 395.63652 597.7028
3.5253452 417.4893 640.97185
3.7805529 440.54911 687.37326
4.0542357 464.88262 737.13376
4.347731 490.56017 790.49654
4.662473 517.65601 847.72237
5 546.24848 909.09091
