r direct reverb total
0.1 73.775494 54.59726 73.827656
0.10320276 73.501668 54.59726 73.557203
0.10650809 73.227842 54.59726 73.286967
0.10991928 72.954017 54.59726 73.016961
0.11343973 72.680191 54.59726 72.7472
0.11707293 72.406365 54.59726 72.4777
0.12082249 72.132539 54.59726 72.208476
0.12469214 71.858713 54.59726 71.939546
0.12868572 71.584887 54.59726 71.670929
0.13280721 71.311061 54.59726 71.402645
0.1370607 71.037235 54.59726 71.134713
0.14145042 70.763409 54.59726 70.867155
0.14598073 70.489584 54.59726 70.599996
0.15065614 70.215758 54.59726 70.33326
0.15548129 69.941932 54.59726 70.066972
0.16046097 69.668106 54.59726 69.80116
0.16560015 69.39428 54.59726 69.535854
0.17090392 69.120454 54.59726 69.271084
0.17637755 68.846628 54.59726 69.006883
0.18202649 68.572802 54.59726 68.743284
0.18785636 68.298976 54.59726 68.480325
0.19387294 68.02515 54.59726 68.218043
0.20008222 67.751325 54.59726 67.956478
0.20649036 67.477499 54.59726 67.695674
0.21310374 67.203673 54.59726 67.435674
0.21992894 66.929847 54.59726 67.176526
0.22697272 66.656021 54.59726 66.918279
0.2342421 66.382195 54.59726 66.660985
0.24174431 66.108369 54.59726 66.404697
0.24948679 65.834543 54.59726 66.149473
0.25747724 65.560717 54.59726 65.895373
0.26572361 65.286891 54.59726 65.642458
0.27423409 65.013066 54.59726 65.390795
0.28301714 64.73924 54.59726 65.140449
0.29208148 64.465414 54.59726 64.891493
0.30143614 64.191588 54.59726 64.644
0.3110904 63.917762 54.59726 64.398046
0.32105387 63.643936 54.59726 64.153711
0.33133644 63.37011 54.59726 63.911076
0.34194834 63.096284 54.59726 63.670227
0.35290011 62.822458 54.59726 63.431251
0.36420264 62.548632 54.59726 63.194238
0.37586716 62.274807 54.59726 62.95928
0.38790527 62.000981 54.59726 62.726473
0.40032893 61.727155 54.59726 62.495913
0.41315049 61.453329 54.59726 62.267701
0.42638269 61.179503 54.59726 62.041935
0.44003869 60.905677 54.59726 61.818719
0.45413205 60.631851 54.59726 61.598157
0.46867679 60.358025 54.59726 61.380351
0.48368737 60.084199 54.59726 61.165407
0.49917869 59.810374 54.59726 60.953429
0.51516617 59.536548 54.59726 60.744522
0.53166568 59.262722 54.59726 60.538789
0.54869364 58.988896 54.59726 60.336332
0.56626695 58.71507 54.59726 60.137253
0.5844031 58.441244 54.59726 59.941647
0.60312011 58.167418 54.59726 59.749612
