m tsigma tdelta tmin t
0.3 0.014398901 0.11479709 0.6 0.6
0.31127438 0.01494003 0.11911131 0.6 0.6
0.32297246 0.015501495 0.12358767 0.6 0.6
0.33511018 0.016084061 0.12823225 0.6 0.6
0.34770404 0.01668852 0.13305138 0.6 0.6
0.3607712 0.017315696 0.13805162 0.6 0.6
0.37432943 0.017966441 0.14323977 0.6 0.6
0.38839721 0.018641643 0.1486229 0.6 0.6
0.40299367 0.019342219 0.15420834 0.6 0.6
0.41813868 0.020069124 0.16000368 0.6 0.6
0.43385286 0.020823347 0.16601682 0.6 0.6
0.45015759 0.021605915 0.17225594 0.6 0.6
0.46707509 0.022417893 0.17872954 0.6 0.6
0.48462836 0.023260385 0.18544642 0.6 0.6
0.5028413 0.02413454 0.19241573 0.6 0.6
0.52173871 0.025041547 0.19964696 0.6 0.6
0.54134631 0.02598264 0.20714994 0.6 0.6
0.56169079 0.0269591 0.2149349 0.6 0.6
0.58279984 0.027972257 0.22301243 0.6 0.6
0.6047022 0.02902349 0.23139351 0.6 0.6
0.62742767 0.030114229 0.24008958 0.6 0.6
0.65100719 0.03124596 0.24911244 0.6 0.6
0.67547287 0.032420223 0.25847441 0.6 0.6
0.70085799 0.033638615 0.2681882 0.6 0.6
0.72719712 0.034902797 0.27826705 0.6 0.6
0.7545261 0.036214488 0.28872468 0.6 0.6
0.78288215 0.037575475 0.29957532 0.6 0.6
0.81230385 0.038987608 0.31083374 0.6 0.6
0.84283125 0.040452812 0.32251526 0.6 0.6
0.87450592 0.04197308 0.33463579 0.6 0.6
0.90737095 0.043550481 0.34721183 0.6 0.6
0.9414711 0.045187163 0.36026049 0.6 0.6
0.97685277 0.046885354 0.37379953 0.6 0.6
1.0135641 0.048647365 0.38784739 0.6 0.6
1.0516552 0.050475594 0.40242318 0.6 0.6
1.0911777 0.052372531 0.41754675 0.6 0.6
1.1321855 0.054340756 0.43323869 0.6 0.6
1.1747345 0.056382951 0.44952035 0.6 0.6
1.2188825 0.058501893 0.46641389 0.6 0.6
1.2646896 0.060700468 0.48394231 0.6 0.6
1.3122183 0.062981669 0.50212947 0.6 0.6
1.3615331 0.065348599 0.52100013 0.6 0.6
1.4127012 0.067804482 0.54057998 0.6 0.6
1.4657923 0.07035266 0.56089566 0.6 0.6
1.5208786 0.072996602 0.58197482 0.6 0.6
1.5780352 0.075739907 0.60384617 0.6 0.60384617
1.6373397 0.078586308 0.62653947 0.6 0.62653947
1.698873 0.081539681 0.65008562 0.6 0.65008562
1.7627188 0.084604045 0.67451666 0.6 0.67451666
1.828964 0.087783572 0.69986585 0.6 0.69986585
1.8976988 0.091082589 0.72616769 0.6 0.72616769
1.9690167 0.094505588 0.75345799 0.6 0.75345799
2.0430149 0.098057227 0.78177389 0.6 0.78177389
2.1197939 0.10174234 0.81115394 0.6 0.81115394
2.1994585 0.10556595 0.84163813 0.6 0.84163813
2.2821169 0.10953325 0.87326796 0.6 0.87326796
2.3678817 0.11364965 0.90608647 0.6 0.90608647
2.4568697 0.11792074 0.94013834 0.6 0.94013834
2.549202 0.12235235 0.97546993 0.6 0.97546993
2.6450042 0.12695051 1.0121293 0.6 1.0121293
2.7444068 0.13172147 1.0501664 0.6 1.0501664
2.8475451 0.13667173 1.089633 0.6 1.089633
2.9545594 0.14180803 1.1305828 0.6 1.1305828
3.0655955 0.14713735 1.1730715 0.6 1.1730715
3.1808045 0.15266696 1.217157 0.6 1.217157
3.3003431 0.15840438 1.2628993 0.6 1.2628993
3.4243742 0.16435741 1.3103607 0.6 1.3103607
3.5530665 0.17053417 1.3596057 0.6 1.3596057
3.6865952 0.17694306 1.4107014 0.6 1.4107014
3.8251421 0.18359281 1.4637173 0.6 1.4637173
3.9688958 0.19049246 1.5187257 0.6 1.5187257
4.1180519 0.1976514 1.5758013 0.6 1.5758013
4.2728135 0.20507939 1.6350219 0.6 1.6350219
4.4333912 0.21278653 1.6964681 0.6 1.6964681
4.6000037 0.22078332 1.7602235 0.6 1.7602235
4.7728776 0.22908064 1.8263749 0.6 1.8263749
4.9522484 0.23768978 1.8950124 0.6 1.8950124
5.1383601 0.24662246 1.9662294 0.6 1.9662294
5.3314662 0.25589084 2.0401227 0.6 2.0401227
5.5318294 0.26550754 2.1167931 0.6 2.1167931
5.7397226 0.27548565 2.1963449 0.6 2.1963449
5.9554286 0.28583875 2.2788863 0.6 2.2788863
6.1792411 0.29658093 2.3645297 0.6 2.3645297
6.4114648 0.30772682 2.4533917 0.6 2.4533917
6.6524158 0.31929158 2.5455933 0.6 2.5455933
6.902422 0.33129096 2.6412599 0.6 2.6412599
7.1618237 0.3437413 2.7405218 0.6 2.7405218
7.4309741 0.35665953 2.8435141 0.6 2.8435141
7.7102395 0.37006324 2.9503769 0.6 2.9503769
8 0.38397069 3.0612558 0.6 3.0612558
