re im
0 0
2.3314684e-14 0.012217615
1.4788171e-12 0.024437091
1.6855406e-11 0.03666029
9.4793506e-11 0.048889077
3.6204439e-10 0.06112532
1.0826511e-09 0.073370891
2.7347964e-09 0.085627668
6.1058929e-09 0.097897537
1.2406628e-08 0.11018239
2.3404821e-08 0.12248413
4.1580094e-08 0.13480467
7.0300525e-08 0.14714594
1.1402261e-07 0.15950986
1.7851601e-07 0.17189841
2.7111488e-07 0.18431353
4.0099752e-07 0.19675722
5.7949657e-07 0.20923149
8.2044215e-07 0.22173835
1.1405404e-06 0.23427984
1.5597904e-06 0.24685805
2.1019429e-06 0.25947505
2.7950034e-06 0.27213298
3.6717854e-06 0.28483397
4.7705158e-06 0.2975802
6.1354987e-06 0.31037389
7.8178423e-06 0.32321727
9.8762553e-06 0.33611263
1.2377917e-05 0.34906229
1.5399431e-05 0.3620686
1.9027869e-05 0.37513397
2.3361909e-05 0.38826084
2.8513089e-05 0.40145172
3.4607168e-05 0.41470914
4.1785628e-05 0.42803573
5.0207307e-05 0.44143413
6.0050196e-05 0.45490709
7.1513401e-05 0.46845738
8.4819301e-05 0.48208786
0.00010021591 0.49580149
0.00011797945 0.50960127
0.00013841723 0.5234903
0.00016187073 0.53747179
0.00018871905 0.551549
0.00021938269 0.56572535
0.00025432767 0.58000433
0.00029407013 0.59438957
0.00033918136 0.60888481
0.00039029333 0.62349393
0.00044810485 0.63822097
0.00051338833 0.65307012
0.00058699729 0.66804573
0.00066987464 0.68315234
0.0007630619 0.6983947
0.00086770941 0.71377775
0.0009850877 0.72930667
0.0011166001 0.74498691
0.0012637968 0.76082417
0.0014283907 0.77682444
0.0016122749 0.79299407
0.0018175423 0.80933974
0.0020465079 0.82586851
0.0023017336 0.84258789
0.002586056 0.85950584
0.0029026179 0.87663085
0.0032549045 0.89397197
0.0036467831 0.91153888
0.0040825499 0.92934197
0.0045669812 0.94739239
0.0051053942 0.96570218
0.0057037144 0.98428434
0.0063685547 1.0031529
0.0071073045 1.0223233
0.0079282347 1.0418121
0.0088406166 1.0616376
0.0098548622 1.0818197
0.010982685 1.1023805
0.012237289 1.1233443
0.013633588 1.1447379
0.015188465 1.1665913
0.01692107 1.1889379
0.018853177 1.2118151
0.021009593 1.2352648
0.023418648 1.2593344
0.026112751 1.2840777
0.029129046 1.3095555
0.032510148 1.3358373
0.036304967 1.3630025
0.040569589 1.3911419
0.045368155 1.4203593
0.050773595 1.4507736
0.056867992 1.4825196
0.063742119 1.5157493
0.071493415 1.5506305
0.080221167 1.5873429
0.09001713 1.6260684
0.10094926 1.666973
0.11303646 1.7101766
0.12621445 1.7557089
0.14029838 1.8034577
0.15495689 1.8531255
0.16971797 1.9042202
0.18402002 1.9561018
0.19729696 2.0080775
0.20906355 2.0595074
0.21896761 2.1098797
0.22679948 2.1588358
0.2324708 2.2061577
0.23598149 2.2517353
0.23738816 2.2955335
0.23677949 2.3375634
0.23425938 2.3778622
0.22993636 2.41648
0.22391736 2.4534715
0.21630442 2.4888906
0.20719314 2.5227879
0.19667217 2.5552096
0.18482333 2.5861966
0.17172199 2.6157847
0.1574376 2.6440044
0.14203423 2.6708816
0.12557123 2.696438
0.10810365 2.720691
0.089682833 2.7436545
0.070356779 2.7653389
0.050170579 2.7857518
0.029166747 2.8048977
0.0073855262 2.8227787
-0.015134842 2.8393944
-0.038357879 2.8547421
-0.062248659 2.868817
-0.086773627 2.8816123
-0.11190042 2.893119
-0.13759775 2.9033264
-0.16383521 2.9122217
-0.19058321 2.9197904
-0.21781284 2.9260159
-0.24549574 2.9308798
-0.273604 2.9343619
-0.30211009 2.9364399
-0.33098671 2.9370899
-0.36020667 2.9362858
-0.38974279 2.934
-0.41956776 2.9302031
-0.44965393 2.9248645
-0.47997316 2.9179524
-0.51049656 2.9094346
-0.54119424 2.8992797
-0.5720349 2.8874575
-0.60298548 2.8739415
-0.63401061 2.8587113
-0.66507204 2.8417556
-0.69612794 2.8230766
-0.72713222 2.802696
-0.75803378 2.7806612
-0.78877602 2.7570532
-0.81929666 2.7319944
-0.84952823 2.7056552
-0.87939954 2.6782572
-0.9088383 2.6500714
-0.93777498 2.6214084
-0.96614735 2.5926012
-0.99390512 2.5639821
-1.0210134 2.5358583
-1.0474546 2.5084907
-1.0732279 2.4820807
-1.098347 2.4567662
-1.1228374 2.4326253
-1.1467318 2.4096855
-1.170068 2.3879348
-1.1928852 2.3673328
-1.2152225 2.347821
-1.2371174 2.3293299
-1.2586052 2.3117851
-1.2797183 2.2951115
-1.3004864 2.2792356
-1.3209363 2.2640871
-1.3410921 2.2496001
-1.3609755 2.2357135
-1.3806057 2.2223705
-1.4 2.2095195
-1.4191739 2.1971128
-1.4381412 2.185107
