m F
0.5 -0.969045
0.50525659 -0.96577311
0.51056844 -0.96247556
0.51593614 -0.95915219
0.52136026 -0.95580287
0.52684142 -0.95242745
0.53238019 -0.94902579
0.5379772 -0.94559774
0.54363305 -0.94214316
0.54934836 -0.93866189
0.55512376 -0.93515381
0.56095987 -0.93161877
0.56685734 -0.92805662
0.57281681 -0.92446723
0.57883894 -0.92085045
0.58492437 -0.91720615
0.59107379 -0.91353417
0.59728785 -0.9098344
0.60356724 -0.90610668
0.60991265 -0.90235088
0.61632477 -0.89856687
0.6228043 -0.89475451
0.62935195 -0.89091366
0.63596844 -0.8870442
0.64265449 -0.88314598
0.64941083 -0.87921889
0.6562382 -0.87526279
0.66313735 -0.87127755
0.67010903 -0.86726304
0.677154 -0.86321914
0.68427304 -0.85914573
0.69146693 -0.85504268
0.69873644 -0.85090987
0.70608238 -0.84674718
0.71350555 -0.8425545
0.72100676 -0.8383317
0.72858683 -0.83407868
0.73624659 -0.82979531
0.74398688 -0.82548149
0.75180855 -0.82113712
0.75971244 -0.81676208
0.76769943 -0.81235626
0.77577039 -0.80791958
0.7839262 -0.80345192
0.79216776 -0.79895319
0.80049596 -0.79442329
0.80891171 -0.78986213
0.81741595 -0.78526963
0.82600958 -0.78064568
0.83469357 -0.77599022
0.84346885 -0.77130315
0.85233639 -0.7665844
0.86129715 -0.7618339
0.87035212 -0.75705156
0.87950228 -0.75223732
0.88874865 -0.74739111
0.89809222 -0.74251288
0.90753402 -0.73760256
0.91707509 -0.73266009
0.92671646 -0.72768542
0.93645919 -0.72267852
0.94630435 -0.71763932
0.95625302 -0.7125678
0.96630627 -0.70746391
0.97646522 -0.70253842
0.98673097 -0.69760993
0.99710465 -0.69264736
1.0075874 -0.68765066
1.0181803 -0.68261979
1.0288846 -0.67755469
1.0397015 -0.67245532
1.0506321 -0.66732165
1.0616775 -0.66215364
1.0728391 -0.65695127
1.0841181 -0.65171451
1.0955156 -0.64644335
1.107033 -0.64113778
1.1186714 -0.63579778
1.1304322 -0.63042337
1.1423166 -0.62501455
1.154326 -0.61957133
1.1664616 -0.61409372
1.1787248 -0.60858176
1.191117 -0.60303547
1.2036394 -0.59745489
1.2162935 -0.59184007
1.2290806 -0.58619106
1.2420021 -0.58050792
1.2550595 -0.57479071
1.2682542 -0.56903951
1.2815876 -0.5632544
1.2950611 -0.55743547
1.3086763 -0.55158282
1.3224347 -0.54569655
1.3363377 -0.53977678
1.3503868 -0.53382364
1.3645837 -0.52783726
1.3789298 -0.52181777
1.3934267 -0.51576534
1.408076 -0.50968012
1.4228794 -0.50356228
1.4378384 -0.49741201
1.4529546 -0.49122949
1.4682298 -0.48501493
1.4836656 -0.47876855
1.4992636 -0.47249056
1.5150256 -0.46618121
1.5309534 -0.45984073
1.5470485 -0.4534694
1.5633129 -0.44706748
1.5797483 -0.44149427
1.5963565 -0.43624474
1.6131393 -0.43097827
1.6300985 -0.4256953
1.647236 -0.42039632
1.6645537 -0.4150818
1.6820534 -0.40975226
1.6997372 -0.40440821
1.7176068 -0.39905019
1.7356643 -0.39367875
