m F
4.52 -0.00019777131
4.5203341 -0.00019571132
4.5206683 -0.00019366088
4.5210024 -0.00019161999
4.5213365 -0.00018958865
4.5216706 -0.00018756686
4.5220048 -0.00018555461
4.5223389 -0.00018355192
4.522673 -0.00018155877
4.5230072 -0.00017957517
4.5233413 -0.00017760112
4.5236754 -0.00017563662
4.5240095 -0.00017368166
4.5243437 -0.00017173625
4.5246778 -0.00016980039
4.5250119 -0.00016787407
4.5253461 -0.00016595729
4.5256802 -0.00016405007
4.5260143 -0.00016215238
4.5263484 -0.00016026425
4.5266826 -0.00015838565
4.5270167 -0.0001565166
4.5273508 -0.0001546571
4.527685 -0.00015280713
4.5280191 -0.00015096671
4.5283532 -0.00014913583
4.5286874 -0.0001473145
4.5290215 -0.0001455027
4.5293556 -0.00014370045
4.5296897 -0.00014190774
4.5300239 -0.00014012457
4.530358 -0.00013835094
4.5306921 -0.00013658685
4.5310263 -0.0001348323
4.5313604 -0.00013308729
4.5316945 -0.00013135182
4.5320286 -0.00012962589
4.5323628 -0.0001279095
4.5326969 -0.00012620264
4.533031 -0.00012450533
4.5333652 -0.00012281755
4.5336993 -0.00012113931
4.5340334 -0.0001194706
4.5343675 -0.00011781143
4.5347017 -0.0001161618
4.5350358 -0.0001145217
4.5353699 -0.00011289114
4.5357041 -0.00011127012
4.5360382 -0.00010965863
4.5363723 -0.00010805667
4.5367064 -0.00010646425
4.5370406 -0.00010488136
4.5373747 -0.000103308
4.5377088 -0.00010174418
4.538043 -0.00010018989
4.5383771 -9.8645139e-05
4.5387112 -9.7109915e-05
4.5390453 -9.5584224e-05
4.5393795 -9.4068064e-05
4.5397136 -9.2561435e-05
4.5400477 -9.1064337e-05
4.5403819 -8.957677e-05
4.540716 -8.8098732e-05
4.5410501 -8.6630225e-05
4.5413842 -8.5171248e-05
4.5417184 -8.3721799e-05
4.5420525 -8.228188e-05
4.5423866 -8.0851489e-05
4.5427208 -7.9430627e-05
4.5430549 -7.8019292e-05
4.543389 -7.6617485e-05
4.5437232 -7.5225205e-05
4.5440573 -7.3842453e-05
4.5443914 -7.2469226e-05
4.5447255 -7.1105526e-05
4.5450597 -6.9751352e-05
4.5453938 -6.8406704e-05
4.5457279 -6.7071581e-05
4.5460621 -6.5745983e-05
4.5463962 -6.4429909e-05
4.5467303 -6.312336e-05
4.5470644 -6.1826334e-05
4.5473986 -6.0538833e-05
4.5477327 -5.9260854e-05
4.5480668 -5.7992399e-05
4.548401 -5.6733466e-05
4.5487351 -5.5484055e-05
4.5490692 -5.4244167e-05
4.5494033 -5.30138e-05
4.5497375 -5.1792954e-05
4.5500716 -5.0581629e-05
4.5504057 -4.9379825e-05
4.5507399 -4.8187541e-05
4.551074 -4.7004778e-05
4.5514081 -4.5831533e-05
4.5517422 -4.4667809e-05
4.5520764 -4.3513603e-05
4.5524105 -4.2368915e-05
4.5527446 -4.1233747e-05
4.5530788 -4.0108096e-05
4.5534129 -3.8991962e-05
4.553747 -3.7885346e-05
4.5540811 -3.6788248e-05
4.5544153 -3.5700665e-05
4.5547494 -3.4622599e-05
4.5550835 -3.3554049e-05
4.5554177 -3.2495015e-05
4.5557518 -3.1445496e-05
4.5560859 -3.0405492e-05
4.55642 -2.9375003e-05
4.5567542 -2.8354028e-05
4.5570883 -2.7342567e-05
4.5574224 -2.634062e-05
4.5577566 -2.5348186e-05
4.5580907 -2.4365266e-05
4.5584248 -2.3391858e-05
4.5587589 -2.2427962e-05
4.5590931 -2.1473578e-05
4.5594272 -2.0528706e-05
4.5597613 -1.9593346e-05
4.5600955 -1.8667496e-05
4.5604296 -1.7751157e-05
4.5607637 -1.6844329e-05
4.5610979 -1.5947011e-05
4.561432 -1.5059202e-05
4.5617661 -1.4180903e-05
4.5621002 -1.3312113e-05
4.5624344 -1.2452831e-05
4.5627685 -1.1603058e-05
4.5631026 -1.0762793e-05
4.5634368 -9.9320361e-06
4.5637709 -9.1107863e-06
4.564105 -8.2990436e-06
4.5644391 -7.4968077e-06
4.5647733 -6.7040783e-06
4.5651074 -5.9208549e-06
4.5654415 -5.1471373e-06
4.5657757 -4.3829251e-06
4.5661098 -3.6282181e-06
4.5664439 -2.8830158e-06
4.566778 -2.147318e-06
4.5671122 -1.4211244e-06
4.5674463 -7.0443448e-07
4.5677804 2.751932e-09
4.5681146 7.0043521e-07
4.5684487 1.3886157e-06
4.5687828 2.0672937e-06
4.5691169 2.7364695e-06
4.5694511 3.3961435e-06
4.5697852 4.0463161e-06
4.5701193 4.6869874e-06
4.5704535 5.318158e-06
4.5707876 5.939828e-06
4.5711217 6.5519978e-06
4.5714558 7.1546678e-06
4.57179 7.7478383e-06
4.5721241 8.3315096e-06
4.5724582 8.9056821e-06
4.5727924 9.470356e-06
4.5731265 1.0025532e-05
4.5734606 1.057121e-05
4.5737947 1.110739e-05
4.5741289 1.1634073e-05
4.574463 1.2151259e-05
4.5747971 1.2658949e-05
4.5751313 1.3157142e-05
4.5754654 1.364584e-05
4.5757995 1.4125041e-05
4.5761337 1.4594748e-05
4.5764678 1.505496e-05
4.5768019 1.5505677e-05
4.577136 1.59469e-05
4.5774702 1.6378629e-05
4.5778043 1.6800864e-05
4.5781384 1.7213606e-05
4.5784726 1.7616856e-05
4.5788067 1.8010612e-05
4.5791408 1.8394876e-05
4.5794749 1.8769649e-05
4.5798091 1.9134929e-05
4.5801432 1.9490719e-05
4.5804773 1.9837017e-05
4.5808115 2.0173825e-05
4.5811456 2.0501142e-05
4.5814797 2.0818969e-05
4.5818138 2.1127307e-05
4.582148 2.1426156e-05
4.5824821 2.1715515e-05
4.5828162 2.1995386e-05
4.5831504 2.2265768e-05
4.5834845 2.2526662e-05
4.5838186 2.2778069e-05
4.5841527 2.3019988e-05
4.5844869 2.325242e-05
4.584821 2.3475366e-05
4.5851551 2.3688825e-05
4.5854893 2.3892798e-05
4.5858234 2.4087285e-05
4.5861575 2.4272287e-05
4.5864916 2.4447804e-05
4.5868258 2.4613836e-05
4.5871599 2.4770383e-05
4.587494 2.4917447e-05
4.5878282 2.5055027e-05
4.5881623 2.5183123e-05
4.5884964 2.5301736e-05
4.5888305 2.5410867e-05
4.5891647 2.5510515e-05
4.5894988 2.560068e-05
4.5898329 2.5681364e-05
4.5901671 2.5752567e-05
4.5905012 2.5814288e-05
4.5908353 2.5866529e-05
4.5911695 2.5909289e-05
4.5915036 2.5942569e-05
4.5918377 2.5966369e-05
4.5921718 2.5980689e-05
4.592506 2.598553e-05
4.5928401 2.5980893e-05
4.5931742 2.5966777e-05
4.5935084 2.5943183e-05
4.5938425 2.591011e-05
4.5941766 2.5867561e-05
4.5945107 2.5815534e-05
4.5948449 2.575403e-05
4.595179 2.5683049e-05
4.5955131 2.5602592e-05
4.5958473 2.551266e-05
4.5961814 2.5413252e-05
4.5965155 2.5304368e-05
4.5968496 2.518601e-05
4.5971838 2.5058176e-05
4.5975179 2.4920869e-05
4.597852 2.4774088e-05
4.5981862 2.4617833e-05
4.5985203 2.4452104e-05
4.5988544 2.4276903e-05
4.5991885 2.4092229e-05
4.5995227 2.3898083e-05
4.5998568 2.3694464e-05
4.6001909 2.3481374e-05
4.6005251 2.3258813e-05
4.6008592 2.3026781e-05
4.6011933 2.2785278e-05
4.6015274 2.2534304e-05
4.6018616 2.227386e-05
4.6021957 2.2003947e-05
4.6025298 2.1724565e-05
4.602864 2.1435713e-05
4.6031981 2.1137392e-05
4.6035322 2.0829603e-05
4.6038663 2.0512346e-05
4.6042005 2.0185621e-05
4.6045346 1.9849429e-05
4.6048687 1.950377e-05
4.6052029 1.9148644e-05
4.605537 1.8784051e-05
4.6058711 1.8409992e-05
4.6062053 1.8026467e-05
4.6065394 1.7633477e-05
4.6068735 1.7231022e-05
4.6072076 1.6819102e-05
4.6075418 1.6397717e-05
4.6078759 1.5966868e-05
4.60821 1.5526556e-05
4.6085442 1.5076779e-05
4.6088783 1.461754e-05
4.6092124 1.4148837e-05
4.6095465 1.3670672e-05
4.6098807 1.3183045e-05
4.6102148 1.2685956e-05
4.6105489 1.2179405e-05
4.6108831 1.1663393e-05
4.6112172 1.113792e-05
4.6115513 1.0602987e-05
4.6118854 1.0058593e-05
4.6122196 9.5047389e-06
4.6125537 8.9414254e-06
4.6128878 8.3686526e-06
4.613222 7.7864208e-06
4.6135561 7.1947303e-06
4.6138902 6.5935814e-06
4.6142243 5.9829746e-06
4.6145585 5.36291e-06
4.6148926 4.7333881e-06
4.6152267 4.0944091e-06
4.6155609 3.4459734e-06
4.615895 2.7880813e-06
4.6162291 2.1207331e-06
4.6165632 1.4439292e-06
4.6168974 7.576698e-07
4.6172315 6.1955331e-08
4.6175656 -6.4321391e-07
4.6178998 -1.3578376e-06
4.6182339 -2.0819154e-06
4.618568 -2.8154471e-06
4.6189021 -3.5584322e-06
4.6192363 -4.3108705e-06
4.6195704 -5.0727616e-06
4.6199045 -5.8441052e-06
4.6202387 -6.624901e-06
4.6205728 -7.4151487e-06
4.6209069 -8.2148479e-06
4.6212411 -9.0239983e-06
4.6215752 -9.8425996e-06
4.6219093 -1.0670651e-05
4.6222434 -1.1508154e-05
