t hx hy rawx rawy govx govy vehx vehy draw dgov dveh elag clear
0 0 0 1.1999638 0.0093214759 1.1999638 0.0093214759 1.1999638 0.0093214759 1.2043673 1.2043673 1.2043673 0 0.73349104
0.04 0.047991112 0 1.2479547 0.0093525187 1.2479558 0.0093525105 1.2479157 0.0093523161 1.2043673 1.2043685 1.2043285 3.8954641e-05 0.73386873
0.08 0.095928905 0 1.2958917 0.009446232 1.295896 0.0094461679 1.2957329 0.0094456257 1.2043673 1.2043716 1.2042092 0.00015879214 0.73419293
0.12 0.14376012 0 1.3437217 0.0096043885 1.3437304 0.0096041834 1.3433557 0.009602764 1.2043673 1.204376 1.2040028 0.00036595791 0.73443067
0.16 0.19143162 0 1.3913914 0.0098300005 1.3914054 0.0098295408 1.390725 0.0098249263 1.2043673 1.2043813 1.2037036 0.0006663415 0.73455858
0.2 0.23889043 0 1.4388477 0.010127408 1.4388675 0.010126558 1.437785 0.010113527 1.2043673 1.2043871 1.2033089 0.0010627526 0.73456619
0.24 0.28608384 0 1.4860379 0.01050241 1.4860638 0.010501013 1.4844843 0.010470992 1.2043673 1.2043931 1.2028199 0.001553964 0.73445441
0.28 0.3329594 0 1.5329093 0.010962433 1.5329413 0.010960315 1.5307754 0.010901493 1.2043673 1.2043991 1.202242 0.0021348215 0.73423207
0.32 0.37946504 0 1.5794098 0.011516766 1.5794476 0.011513729 1.576615 0.011411472 1.2043673 1.204405 1.2015838 0.0027968991 0.73391229
0.36 0.4255491 0 1.6254873 0.012176835 1.6255308 0.012172659 1.6219621 0.012009952 1.2043673 1.2044106 1.2008564 0.0035293201 0.73350992
0.4 0.47116036 0 1.6710904 0.012956567 1.6711393 0.012951003 1.6667783 0.012708743 1.2043673 1.2044159 1.2000725 0.0043195267 0.73303986
0.44 0.51624817 0 1.716168 0.013872832 1.7162218 0.01386559 1.7110263 0.013522653 1.2043673 1.2044209 1.1992461 0.0051539163 0.73251649
0.48 0.56076241 0 1.7606693 0.01494598 1.7607277 0.014936726 1.7546704 0.014469772 1.2043673 1.2044254 1.1983917 0.0060183444 0.7319534
0.52 0.60465365 0 1.8045443 0.016200512 1.8046068 0.016188855 1.7976752 0.015571913 1.2043673 1.2044295 1.1975241 0.0068985332 0.73136341
0.56 0.64787311 0 1.8477431 0.01766589 1.8478094 0.017651366 1.8400059 0.016855205 1.2043673 1.2044332 1.196658 0.0077804339 0.73075845
