t x y z hx hy rx ry rz dx dy rzrel acc
0 1.44 0 0 6.123234e-17 1 1.44 1.2 1.3975271 0 1.2 0 1.3017082
0.05 1.4387502 0.05998264 0.022699525 -0.041654611 0.99913207 1.3887646 1.2589411 1.4202266 -0.049985534 1.1989585 0.022699525 2.3999838
0.1 1.4350029 0.11986116 0.04045085 -0.083236916 0.99652979 1.3351186 1.3156969 1.4379779 -0.099884299 1.1958357 0.04045085 3.8216039
0.15 1.4287646 0.17953162 0.049384417 -0.12467473 0.99219767 1.279155 1.3701688 1.4469115 -0.14960968 1.1906372 0.049384417 4.5756734
0.2 1.4200463 0.23889043 0.047552826 -0.16589613 0.98614323 1.2209709 1.4222623 1.4450799 -0.19907536 1.1833719 0.047552826 4.4199455
0.25 1.4088629 0.29783457 0.035355339 -0.20682956 0.97837699 1.1606674 1.471887 1.4328824 -0.24819547 1.1740524 0.035355339 3.3995542
0.3 1.3952339 0.3562617 0.01545085 -0.24740396 0.96891242 1.0983491 1.5189566 1.4129779 -0.29688475 1.1626949 0.01545085 1.8915652
0.35 1.379183 0.41407042 -0.0078217233 -0.2875489 0.95776596 1.0341243 1.5633896 1.3897053 -0.34505868 1.1493191 -0.0078217233 1.475517
0.4 1.360738 0.47116036 -0.029389263 -0.3271947 0.94495695 0.96810437 1.6051087 1.3681378 -0.39263364 1.1339483 -0.029389263 2.9170672
0.45 1.339931 0.52743244 -0.044550326 -0.36627253 0.93050762 0.90040394 1.6440416 1.3529767 -0.43952703 1.1166091 -0.044550326 4.1658151
0.5 1.316798 0.58278897 -0.05 -0.40471456 0.91444307 0.83114054 1.6801207 1.3475271 -0.48565748 1.0973317 -0.05 4.6281198
0.55 1.2913793 0.63713386 -0.044550326 -0.44245407 0.89679117 0.7604344 1.7132833 1.3529767 -0.53094488 1.0761494 -0.044550326 4.1658151
0.6 1.2637189 0.69037278 -0.029389263 -0.47942554 0.87758256 0.68840824 1.7434718 1.3681378 -0.57531065 1.0530991 -0.029389263 2.9170672
0.65 1.2338649 0.7424133 -0.0078217233 -0.51556479 0.8568506 0.61518711 1.770634 1.3897053 -0.61867775 1.0282207 -0.0078217233 1.475517
0.7 1.201869 0.7931651 0.01545085 -0.5508091 0.83463126 0.5408981 1.7947226 1.4129779 -0.66097092 1.0015575 0.01545085 1.8915652
