t x y z hx hy rx ry rz dx dy rzrel acc
0 0 0 0 1 0 1.2 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.001
0.05 0.05998264 0 0 1 0 1.2599826 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.041654609
0.1 0.11986116 0 0 1 0 1.3198612 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.083236912
0.15 0.17953162 0 0 1 0 1.3795316 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.12467473
0.2 0.23889043 0 0 1 0 1.4388904 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.16589612
0.25 0.29783457 0 0 1 0 1.4978346 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.20682955
0.3 0.3562617 0 0 1 0 1.5562617 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.24740394
0.35 0.41407042 0 0 1 0 1.6140704 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.28754888
0.4 0.47116036 0 0 1 0 1.6711604 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.32719468
0.45 0.52743244 0 0 1 0 1.7274324 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.36627251
0.5 0.58278897 0 0 1 0 1.782789 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.40471454
0.55 0.63713386 0 0 1 0 1.8371339 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.44245404
0.6 0.69037278 0 0 1 0 1.8903728 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.47942551
0.65 0.7424133 0 0 1 0 1.9424133 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.51556476
0.7 0.7931651 0 0 1 0 1.9931651 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.55080906
0.75 0.84254007 0 0 1 0 2.0425401 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.58509724
0.8 0.89045252 0 0 1 0 2.0904525 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.61836977
0.85 0.93681926 0 0 1 0 2.1368193 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.65056889
0.9 0.98155981 0 0 1 0 2.1815598 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.68163872
0.95 1.0245965 0 0 1 0 2.2245965 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.71152532
1 1.0658547 0 0 1 0 2.2658547 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.74017681
1.05 1.1052626 0 0 1 0 2.3052626 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.76754346
1.1 1.142752 0 0 1 0 2.342752 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.79357776
1.15 1.1782578 0 0 1 0 2.3782578 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.81823452
1.2 1.2117182 0 0 1 0 2.4117182 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.84147094
1.25 1.2430753 0 0 1 0 2.4430753 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.86324668
1.3 1.2722746 0 0 1 0 2.4722746 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.88352395
1.35 1.2992653 0 0 1 0 2.4992653 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.90226754
1.4 1.3240008 0 0 1 0 2.5240008 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.91944493
1.45 1.3464379 0 0 1 0 2.5464379 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.93502628
1.5 1.3665379 0 0 1 0 2.5665379 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.94898457
1.55 1.3842657 0 0 1 0 2.5842657 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.96129554
1.6 1.3995906 0 0 1 0 2.5995906 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.97193784
1.65 1.412486 0 0 1 0 2.612486 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.980893
1.7 1.4229295 0 0 1 0 2.6229295 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.98814546
1.75 1.4309031 0 0 1 0 2.6309031 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.99368264
1.8 1.4363928 0 0 1 0 2.6363928 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.99749493
