t x y z hx hy rx ry rz dx dy rzrel acc
0 0 0 -2.5999867e-08 1 0 1.2 3.4593664e-18 1.397527 1.2 3.4593664e-18 0 0.001
0.05 0 0 -2.825936e-08 1 0 1.2 3.4593664e-18 1.397527 1.2 3.4593664e-18 -2.2594935e-09 0.001
0.1 0 0 -3.0715213e-08 1 0 1.2 3.4593664e-18 1.397527 1.2 3.4593664e-18 -4.7153461e-09 0.001
0.15 0 0 -3.3384489e-08 1 0 1.2 3.4593664e-18 1.397527 1.2 3.4593664e-18 -7.3846225e-09 0.001
0.2 0 0 -3.6285736e-08 1 0 1.2 3.4593664e-18 1.397527 1.2 3.4593664e-18 -1.0285869e-08 0.001
0.25 0 0 -3.9439114e-08 1 0 1.2 3.4593664e-18 1.397527 1.2 3.4593664e-18 -1.3439247e-08 0.001
0.3 0 0 -4.2866532e-08 1 0 1.2 3.4593664e-18 1.397527 1.2 3.4593664e-18 -1.6866665e-08 0.001
0.35 0 0 -4.6591807e-08 1 0 1.2 3.4593664e-18 1.397527 1.2 3.4593664e-18 -2.059194e-08 0.001
0.4 0 0 -5.0640823e-08 1 0 1.2 3.4593664e-18 1.397527 1.2 3.4593664e-18 -2.4640956e-08 0.001
0.45 0 0 -5.5041715e-08 1 0 1.2 3.4593664e-18 1.397527 1.2 3.4593664e-18 -2.9041848e-08 0.001
0.5 0 0 -5.9825062e-08 1 0 1.2 3.4593664e-18 1.397527 1.2 3.4593664e-18 -3.3825195e-08 0.001
0.55 0 0 -6.5024102e-08 1 0 1.2 3.4593664e-18 1.397527 1.2 3.4593664e-18 -3.9024235e-08 0.001
0.6 0 0 -7.0674959e-08 1 0 1.2 3.4593664e-18 1.397527 1.2 3.4593664e-18 -4.4675092e-08 0.001
0.65 0 0 -7.6816898e-08 1 0 1.2 3.4593664e-18 1.397527 1.2 3.4593664e-18 -5.0817031e-08 0.001
0.7 0 0 -8.3492596e-08 1 0 1.2 3.4593664e-18 1.397527 1.2 3.4593664e-18 -5.7492729e-08 0.001
0.75 0 0 -9.0748439e-08 1 0 1.2 3.4593664e-18 1.397527 1.2 3.4593664e-18 -6.4748572e-08 0.001
0.8 0 0 -9.8634844e-08 1 0 1.2 3.4593664e-18 1.397527 1.2 3.4593664e-18 -7.2634977e-08 0.001
0.85 0 0 -1.0720661e-07 1 0 1.2 3.4593664e-18 1.397527 1.2 3.4593664e-18 -8.1206743e-08 0.001
0.9 0 0 -1.165233e-07 1 0 1.2 3.4593664e-18 1.3975269 1.2 3.4593664e-18 -9.0523429e-08 0.001
0.95 0 0 -1.2664964e-07 1 0 1.2 3.4593664e-18 1.3975269 1.2 3.4593664e-18 -1.0064977e-07 0.001
1 0 0 -1.37656e-07 1 0 1.2 3.4593664e-18 1.3975269 1.2 3.4593664e-18 -1.1165614e-07 0.001
1.05 0 0 -1.4961886e-07 1 0 1.2 3.4593664e-18 1.3975269 1.2 3.4593664e-18 -1.23619e-07 0.001
1.1 0 0 -1.6262134e-07 1 0 1.2 3.4593664e-18 1.3975269 1.2 3.4593664e-18 -1.3662148e-07 0.001
1.15 0 0 -1.7675379e-07 1 0 1.2 3.4593664e-18 1.3975269 1.2 3.4593664e-18 -1.5075392e-07 0.001
1.2 0 0 -1.921144e-07 1 0 1.2 3.4593664e-18 1.3975269 1.2 3.4593664e-18 -1.6611454e-07 0.001
1.25 0 0 -2.0880992e-07 1 0 1.2 3.4593664e-18 1.3975269 1.2 3.4593664e-18 -1.8281005e-07 0.001
1.3 0 0 -2.2695633e-07 1 0 1.2 3.4593664e-18 1.3975268 1.2 3.4593664e-18 -2.0095647e-07 0.001
1.35 0 0 -2.4667975e-07 1 0 1.2 3.4593664e-18 1.3975268 1.2 3.4593664e-18 -2.2067988e-07 0.001
1.4 0 0 -2.681172e-07 1 0 1.2 3.4593664e-18 1.3975268 1.2 3.4593664e-18 -2.4211734e-07 0.001
1.45 0 0 -2.9141766e-07 1 0 1.2 3.4593664e-18 1.3975268 1.2 3.4593664e-18 -2.6541779e-07 0.001
1.5 0 0 -3.1674302e-07 1 0 1.2 3.4593664e-18 1.3975267 1.2 3.4593664e-18 -2.9074315e-07 0.001
1.55 0 0 -3.4426925e-07 1 0 1.2 3.4593664e-18 1.3975267 1.2 3.4593664e-18 -3.1826938e-07 0.001
1.6 0 0 -3.7418761e-07 1 0 1.2 3.4593664e-18 1.3975267 1.2 3.4593664e-18 -3.4818775e-07 0.001
1.65 0 0 -4.06706e-07 1 0 1.2 3.4593664e-18 1.3975267 1.2 3.4593664e-18 -3.8070613e-07 0.001
1.7 0 0 -4.4205037e-07 1 0 1.2 3.4593664e-18 1.3975266 1.2 3.4593664e-18 -4.160505e-07 0.001
1.75 0 0 -4.8046629e-07 1 0 1.2 3.4593664e-18 1.3975266 1.2 3.4593664e-18 -4.5446642e-07 0.001
1.8 0 0 -5.2222071e-07 1 0 1.2 3.4593664e-18 1.3975265 1.2 3.4593664e-18 -4.9622084e-07 0.001
1.85 0 0 -5.6760375e-07 1 0 1.2 3.4593664e-18 1.3975265 1.2 3.4593664e-18 -5.4160388e-07 0.001
1.9 0 0 -6.1693074e-07 1 0 1.2 3.4593664e-18 1.3975264 1.2 3.4593664e-18 -5.9093088e-07 0.001
1.95 0 0 -6.7054444e-07 1 0 1.2 3.4593664e-18 1.3975264 1.2 3.4593664e-18 -6.4454458e-07 0.001
2 0 0 -7.2881738e-07 1 0 1.2 3.4593664e-18 1.3975263 1.2 3.4593664e-18 -7.0281751e-07 0.001
2.05 0 0 -7.9215445e-07 1 0 1.2 3.4593664e-18 1.3975263 1.2 3.4593664e-18 -7.6615458e-07 0.001
2.1 0 0 -8.6099574e-07 1 0 1.2 3.4593664e-18 1.3975262 1.2 3.4593664e-18 -8.3499588e-07 0.001
2.15 0 0 -9.358196e-07 1 0 1.2 3.4593664e-18 1.3975261 1.2 3.4593664e-18 -9.0981974e-07 0.001
2.2 0 0 -1.0171459e-06 1 0 1.2 3.4593664e-18 1.397526 1.2 3.4593664e-18 -9.9114607e-07 0.001
2.25 0 0 -1.1055398e-06 1 0 1.2 3.4593664e-18 1.397526 1.2 3.4593664e-18 -1.07954e-06 0.001
2.3 0 0 -1.2016154e-06 1 0 1.2 3.4593664e-18 1.3975259 1.2 3.4593664e-18 -1.1756156e-06 0.001
2.35 0 0 -1.3060404e-06 1 0 1.2 3.4593664e-18 1.3975258 1.2 3.4593664e-18 -1.2800405e-06 0.001
2.4 0 0 -1.4195402e-06 1 0 1.2 3.4593664e-18 1.3975256 1.2 3.4593664e-18 -1.3935404e-06 0.001
2.45 0 0 -1.5429036e-06 1 0 1.2 3.4593664e-18 1.3975255 1.2 3.4593664e-18 -1.5169037e-06 0.001
2.5 0 0 -1.6769877e-06 1 0 1.2 3.4593664e-18 1.3975254 1.2 3.4593664e-18 -1.6509878e-06 0.001
2.55 0 0 -1.8227241e-06 1 0 1.2 3.4593664e-18 1.3975252 1.2 3.4593664e-18 -1.7967242e-06 0.001
2.6 0 0 -1.9811255e-06 1 0 1.2 3.4593664e-18 1.3975251 1.2 3.4593664e-18 -1.9551256e-06 0.001
2.65 0 0 -2.1532925e-06 1 0 1.2 3.4593664e-18 1.3975249 1.2 3.4593664e-18 -2.1272927e-06 0.001
2.7 0 0 -2.3404214e-06 1 0 1.2 3.4593664e-18 1.3975247 1.2 3.4593664e-18 -2.3144215e-06 0.001
2.75 0 0 -2.5438123e-06 1 0 1.2 3.4593664e-18 1.3975245 1.2 3.4593664e-18 -2.5178125e-06 0.001
2.8 0 0 -2.7648786e-06 1 0 1.2 3.4593664e-18 1.3975243 1.2 3.4593664e-18 -2.7388787e-06 0.001
2.85 0 0 -3.0051561e-06 1 0 1.2 3.4593664e-18 1.3975241 1.2 3.4593664e-18 -2.9791562e-06 0.001
2.9 0 0 -3.2663145e-06 1 0 1.2 3.4593664e-18 1.3975238 1.2 3.4593664e-18 -3.2403146e-06 0.001
