t x y z hx hy rx ry rz dx dy rzrel acc
0 0 0 0 1 0 1.2 3.4593664e-18 1.3975271 1.2 3.4593664e-18 0 0.001
0.05 0.0013459449 0.00062191154 0 1 0 1.2013459 0.00062191154 1.3975271 1.2 3.469447e-18 0 0.0011243611
0.1 0.0026891793 0.0012430805 0 1 0 1.2026892 0.0012430805 1.3975271 1.2 3.469447e-18 0 0.0022465222
0.15 0.004026998 0.001862765 0 1 0 1.204027 0.001862765 1.3975271 1.2 3.469447e-18 0 0.0033642876
0.2 0.0053567068 0.0024802252 0 1 0 1.2053567 0.0024802252 1.3975271 1.2 3.469447e-18 0 0.004475471
0.25 0.006675628 0.0030947238 0 1 0 1.2066756 0.0030947238 1.3975271 1.2 3.469447e-18 0 0.005577899
0.3 0.0079811054 0.003705527 0 1 0 1.2079811 0.003705527 1.3975271 1.2 3.469447e-18 0 0.0066694155
0.35 0.0092705098 0.0043119053 0 1 0 1.2092705 0.0043119053 1.3975271 1.2 3.469447e-18 0 0.0077478872
0.4 0.010541245 0.0049131348 0 1 0 1.2105412 0.0049131348 1.3975271 1.2 3.469447e-18 0 0.0088112065
0.45 0.011790751 0.0055084976 0 1 0 1.2117908 0.0055084976 1.3975271 1.2 3.469447e-18 0 0.0098572967
0.5 0.013016512 0.0060972826 0 1 0 1.2130165 0.0060972826 1.3975271 1.2 3.469447e-18 0 0.010884116
0.55 0.01421606 0.0066787868 0 1 0 1.2142161 0.0066787868 1.3975271 1.2 3.469447e-18 0 0.01188966
0.6 0.015386978 0.0072523158 0 1 0 1.215387 0.0072523158 1.3975271 1.2 3.469447e-18 0 0.012871969
0.65 0.016526909 0.0078171849 0 1 0 1.2165269 0.0078171849 1.3975271 1.2 3.469447e-18 0 0.013829131
0.7 0.017633558 0.0083727194 0 1 0 1.2176336 0.0083727194 1.3975271 1.2 3.469447e-18 0 0.014759282
0.75 0.018704694 0.008918256 0 1 0 1.2187047 0.008918256 1.3975271 1.2 3.469447e-18 0 0.015660614
0.8 0.019738162 0.0094531433 0 1 0 1.2197382 0.0094531433 1.3975271 1.2 3.469447e-18 0 0.016531377
0.85 0.020731879 0.0099767426 0 1 0 1.2207319 0.0099767426 1.3975271 1.2 3.469447e-18 0 0.017369885
0.9 0.021683846 0.010488429 0 1 0 1.2216838 0.010488429 1.3975271 1.2 3.469447e-18 0 0.018174513
0.95 0.022592144 0.01098759 0 1 0 1.2225921 0.01098759 1.3975271 1.2 3.469447e-18 0 0.018943709
1 0.023454944 0.011473632 0 1 0 1.2234549 0.011473632 1.3975271 1.2 3.469447e-18 0 0.019675989
1.05 0.02427051 0.011945973 0 1 0 1.2242705 0.011945973 1.3975271 1.2 3.469447e-18 0 0.020369947
1.1 0.025037198 0.012404049 0 1 0 1.2250372 0.012404049 1.3975271 1.2 3.469447e-18 0 0.021024252
1.15 0.025753464 0.012847313 0 1 0 1.2257535 0.012847313 1.3975271 1.2 3.469447e-18 0 0.021637656
1.2 0.026417866 0.013275236 0 1 0 1.2264179 0.013275236 1.3975271 1.2 3.469447e-18 0 0.022208992
1.25 0.027029066 0.013687307 0 1 0 1.2270291 0.013687307 1.3975271 1.2 3.469447e-18 0 0.02273718
1.3 0.027585833 0.014083035 0 1 0 1.2275858 0.014083035 1.3975271 1.2 3.469447e-18 0 0.023221228
1.35 0.028087046 0.014461945 0 1 0 1.228087 0.014461945 1.3975271 1.2 3.469447e-18 0 0.023660233
1.4 0.028531695 0.014823587 0 1 0 1.2285317 0.014823587 1.3975271 1.2 3.469447e-18 0 0.024053384
1.45 0.028918886 0.015167527 0 1 0 1.2289189 0.015167527 1.3975271 1.2 3.469447e-18 0 0.024399967
1.5 0.029247837 0.015493356 0 1 0 1.2292478 0.015493356 1.3975271 1.2 3.469447e-18 0 0.02469936
1.55 0.029517888 0.015800685 0 1 0 1.2295179 0.015800685 1.3975271 1.2 3.469447e-18 0 0.024951039
1.6 0.029728493 0.016089146 0 1 0 1.2297285 0.016089146 1.3975271 1.2 3.469447e-18 0 0.025154581
1.65 0.029879229 0.016358394 0 1 0 1.2298792 0.016358394 1.3975271 1.2 3.469447e-18 0 0.02530966
1.7 0.029969792 0.016608109 0 1 0 1.2299698 0.016608109 1.3975271 1.2 3.469447e-18 0 0.025416051
1.75 0.03 0.016837993 0 1 0 1.23 0.016837993 1.3975271 1.2 3.469447e-18 0 0.025473635
1.8 0.029969792 0.017047769 0 1 0 1.2299698 0.017047769 1.3975271 1.2 3.469447e-18 0 0.02548239
1.85 0.029879229 0.01723719 0 1 0 1.2298792 0.01723719 1.3975271 1.2 3.469447e-18 0 0.025442401
1.9 0.029728493 0.017406027 0 1 0 1.2297285 0.017406027 1.3975271 1.2 3.469447e-18 0 0.025353857
1.95 0.029517888 0.017554079 0 1 0 1.2295179 0.017554079 1.3975271 1.2 3.469447e-18 0 0.02521705
2 0.029247837 0.017681171 0 1 0 1.2292478 0.017681171 1.3975271 1.2 3.469447e-18 0 0.025032381
2.05 0.028918886 0.017787149 0 1 0 1.2289189 0.017787149 1.3975271 1.2 3.469447e-18 0 0.024800352
2.1 0.028531695 0.017871887 0 1 0 1.2285317 0.017871887 1.3975271 1.2 3.469447e-18 0 0.024521575
2.15 0.028087046 0.017935284 0 1 0 1.228087 0.017935284 1.3975271 1.2 3.469447e-18 0 0.02419677
2.2 0.027585833 0.017977265 0 1 0 1.2275858 0.017977265 1.3975271 1.2 3.469447e-18 0 0.023826761
2.25 0.027029066 0.017997779 0 1 0 1.2270291 0.017997779 1.3975271 1.2 3.469447e-18 0 0.023412487
2.3 0.026417866 0.017996802 0 1 0 1.2264179 0.017996802 1.3975271 1.2 3.469447e-18 0 0.022954994
