t x y z hx hy rx ry rz dx dy rzrel acc
0 0 0 0 0.99996983 0.0077678966 1.1999638 0.0093214759 1.3975271 1.1999638 0.0093214759 0 0.038743875
0.05 0.05998264 0 0 0.99996951 0.0078083525 1.2599461 0.0093700229 1.3975271 1.1999634 0.0093700229 0 0.057503013
0.1 0.11986116 0 0 0.99996855 0.0079309137 1.3198234 0.0095170965 1.3975271 1.1999623 0.0095170965 0 0.093113665
0.15 0.17953162 0 0 0.99996688 0.0081392166 1.3794919 0.0097670599 1.3975271 1.1999603 0.0097670599 0 0.13259108
0.2 0.23889043 0 0 0.99996439 0.0084395069 1.4388477 0.010127408 1.3975271 1.1999573 0.010127408 0 0.1732639
0.25 0.29783457 0 0 0.99996092 0.0088409297 1.4977877 0.010609116 1.3975271 1.1999531 0.010609116 0 0.21441922
0.3 0.3562617 0 0 0.99995623 0.009355959 1.5562092 0.011227151 1.3975271 1.1999475 0.011227151 0 0.25582602
0.35 0.41407042 0 0 0.99994999 0.010000991 1.6140104 0.012001189 1.3975271 1.19994 0.012001189 0 0.29744127
0.4 0.47116036 0 0 0.99994171 0.010797139 1.6710904 0.012956567 1.3975271 1.1999301 0.012956567 0 0.33934336
0.45 0.52743244 0 0 0.99993072 0.011771276 1.7273493 0.014125531 1.3975271 1.1999169 0.014125531 0 0.38173197
0.5 0.58278897 0 0 0.99991605 0.012957382 1.7826882 0.015548859 1.3975271 1.1998993 0.015548859 0 0.42496091
0.55 0.63713386 0 0 0.99989634 0.014398295 1.8370095 0.017277954 1.3975271 1.1998756 0.017277954 0 0.46959897
0.6 0.69037278 0 0 0.99986961 0.016147945 1.8902163 0.019377534 1.3975271 1.1998435 0.019377534 0 0.51652341
0.65 0.7424133 0 0 0.99983301 0.018274228 1.9422129 0.021929073 1.3975271 1.1997996 0.021929073 0 0.56705437
0.7 0.7931651 0 0 0.99978235 0.020862674 1.9929039 0.025035209 1.3975271 1.1997388 0.025035209 0 0.6231388
0.75 0.84254007 0 0 0.99971145 0.024021133 2.0421938 0.028825359 1.3975271 1.1996537 0.028825359 0 0.68758793
0.8 0.89045252 0 0 0.99961112 0.027885724 2.0899859 0.033462869 1.3975271 1.1995333 0.033462869 0 0.76436031
0.85 0.93681926 0 0 0.99946755 0.032628374 2.1361803 0.039154049 1.3975271 1.1993611 0.039154049 0 0.85886372
0.9 0.98155981 0 0 0.9992599 0.038466294 2.1806717 0.046159552 1.3975271 1.1991119 0.046159552 0 0.97823091
0.95 1.0245965 0 0 0.99895641 0.045673783 2.2233442 0.054808539 1.3975271 1.1987477 0.054808539 0 1.1315217
1 1.0658547 0 0 0.99850849 0.054596736 2.2640649 0.065516083 1.3975271 1.1982102 0.065516083 0 1.329828
1.05 1.1052626 0 0 0.99784139 0.0656701 2.3026723 0.07880412 1.3975271 1.1974097 0.07880412 0 1.5862932
1.1 1.142752 0 0 0.99683979 0.079438228 2.3389598 0.095325874 1.3975271 1.1962077 0.095325874 0 1.9160626
1.15 1.1782578 0 0 0.99532548 0.096577399 2.3726483 0.11589288 1.3975271 1.1943906 0.11589288 0 2.3361239
1.2 1.2117182 0 0 0.99302327 0.11791851 2.4033461 0.14150222 1.3975271 1.1916279 0.14150222 0 2.8649005
1.25 1.2430753 0 0 0.98950982 0.14446562 2.4304871 0.17335875 1.3975271 1.1874118 0.17335875 0 3.5213766
1.3 1.2722746 0 0 0.98413846 0.17740204 2.4532407 0.21288245 1.3975271 1.1809662 0.21288245 0 4.3235148
1.35 1.2992653 0 0 0.97593325 0.21806945 2.4703852 0.26168334 1.3975271 1.1711199 0.26168334 0 5.2858277
1.4 1.3240008 0 0 0.96344777 0.26789624 2.4801381 0.32147549 1.3975271 1.1561373 0.32147549 0 6.416229
1.45 1.3464379 0 0 0.94459439 0.32823992 2.4799512 0.39388791 1.3975271 1.1335133 0.39388791 0 7.7127357
1.5 1.3665379 0 0 0.91647214 0.40009851 2.4663044 0.48011821 1.3975271 1.0997666 0.48011821 0 9.1610054
1.55 1.3842657 0 0 0.87526268 0.48364784 2.4345809 0.58037741 1.3975271 1.0503152 0.58037741 0 10.733474
1.6 1.3995906 0 0 0.81632233 0.57759662 2.3791774 0.69311594 1.3975271 0.9795868 0.69311594 0 12.389092
1.65 1.412486 0 0 0.73465113 0.67844507 2.2940674 0.81413408 1.3975271 0.88158136 0.81413408 0 14.0695
1.7 1.4229295 0 0 0.62590545 0.77989894 2.1740161 0.93587873 1.3975271 0.75108654 0.93587873 0 15.686731
1.75 1.4309031 0 0 0.48794766 0.87287289 2.0164403 1.0474475 1.3975271 0.5855372 1.0474475 0 17.106097
1.8 1.4363928 0 0 0.32255343 0.94655126 1.8234569 1.1358615 1.3975271 0.38706411 1.1358615 0 18.144963
1.85 1.4393891 0 0 0.13647541 0.99064346 1.6031596 1.1887722 1.3975271 0.16377049 1.1887722 0 18.613052
1.9 1.4398868 0 0 -0.059015553 0.99825706 1.3690682 1.1979085 1.3975271 -0.070818664 1.1979085 0 18.39134
1.95 1.4378851 0 0 -0.25038622 0.96814603 1.1374217 1.1617752 1.3975271 -0.30046347 1.1617752 0 17.502131
2 1.4333875 0 0 -0.42510917 0.90514208 0.92325645 1.0861705 1.3975271 -0.51013101 1.0861705 0 16.113069
2.05 1.4264016 0 0 -0.57447257 0.81852383 0.73703454 0.9822286 1.3975271 -0.68936708 0.9822286 0 14.463969
2.1 1.4169398 0 0 -0.69477784 0.71922441 0.58320635 0.86306929 1.3975271 -0.83373341 0.86306929 0 12.766908
2.15 1.4050183 0 0 -0.78679432 0.61721528 0.46086511 0.74065834 1.3975271 -0.94415318 0.74065834 0 11.146894
2.2 1.3906579 0 0 -0.8541951 0.51995263 0.36562379 0.62394316 1.3975271 -1.0250341 0.62394316 0 9.6477271
2.25 1.3738835 0 0 -0.90187338 0.43200047 0.29163547 0.51840056 1.3975271 -1.0822481 0.51840056 0 8.2730579
2.3 1.3547243 0 0 -0.93469847 0.35544165 0.23308611 0.42652998 1.3975271 -1.1216382 0.42652998 0 7.0205979
2.35 1.3332134 0 0 -0.95684507 0.29059853 0.18499934 0.34871824 1.3975271 -1.1482141 0.34871824 0 5.8938063
2.4 1.3093883 0 0 -0.9715744 0.2367344 0.14349901 0.28408128 1.3975271 -1.1658893 0.28408128 0 4.8990447
2.45 1.2832903 0 0 -0.98127904 0.19259141 0.10575541 0.23110969 1.3975271 -1.1775348 0.23110969 0 4.0398618
2.5 1.2549646 0 0 -0.98763922 0.15674426 0.069797527 0.18809312 1.3975271 -1.1851671 0.18809312 0 3.3139461
2.55 1.2244605 0 0 -0.99179941 0.12780428 0.034301208 0.15336514 1.3975271 -1.1901593 0.15336514 0 2.7131293
2.6 1.1918309 0 0 -0.99452274 0.1045204 -0.0015963837 0.12542449 1.3975271 -1.1934273 0.12542449 0 2.225023
2.65 1.1571325 0 0 -0.99631093 0.085816819 -0.038440653 0.10298018 1.3975271 -1.1955731 0.10298018 0 1.8349849
2.7 1.1204254 0 0 -0.99749086 0.070795439 -0.076563622 0.084954527 1.3975271 -1.196989 0.084954527 0 1.5277356
2.75 1.0817734 0 0 -0.99827443 0.058721029 -0.11615588 0.070465235 1.3975271 -1.1979293 0.070465235 0 1.2884515
2.8 1.0412437 0 0 -0.9987988 0.048999473 -0.1573149 0.058799367 1.3975271 -1.1985586 0.058799367 0 1.1034257
2.85 0.99890645 0 0 -0.99915278 0.041154841 -0.20007689 0.04938581 1.3975271 -1.1989833 0.04938581 0 0.96046184
2.9 0.95483526 0 0 -0.99939402 0.034808037 -0.24443756 0.041769644 1.3975271 -1.1992728 0.041769644 0 0.84911382
2.95 0.90910661 0 0 -0.9995601 0.029658147 -0.29036551 0.035589777 1.3975271 -1.1994721 0.035589777 0 0.76079775
3 0.86179989 0 0 -0.99967567 0.025466786 -0.33781092 0.030560144 1.3975271 -1.1996108 0.030560144 0 0.68876151
3.05 0.8129972 0 0 -0.99975697 0.022045251 -0.38671117 0.026454301 1.3975271 -1.1997084 0.026454301 0 0.62791427
3.1 0.76278326 0 0 -0.99981481 0.019244165 -0.43699452 0.023092998 1.3975271 -1.1997778 0.023092998 0 0.57456018
3.15 0.71124523 0 0 -0.99985642 0.016945216 -0.48858247 0.020334259 1.3975271 -1.1998277 0.020334259 0 0.52609968
3.2 0.65847258 0 0 -0.99988667 0.01505461 -0.54139143 0.018065532 1.3975271 -1.199864 0.018065532 0 0.48075068
3.25 0.60455692 0 0 -0.9999089 0.01349792 -0.59533376 0.016197505 1.3975271 -1.1998907 0.016197505 0 0.43731759
