d cap logical ppd angle gap
0.35 19.766826 1920 36.58995 52.473424 0.13
0.36666667 18.868352 1920 38.103022 50.389704 0.13
0.38333333 18.048005 1920 39.623993 48.455491 0.13
0.4 17.296018 1920 41.15205 46.656242 0.13
0.41666667 16.604188 1920 42.686483 44.97911 0.13
0.43333333 15.965575 1915.8689 44.226669 43.41272 0.13
0.45 15.374265 1844.9118 45.77206 41.946987 0.13
0.46666667 14.825191 1779.0229 47.322174 40.572946 0.13
0.48333333 14.313984 1717.678 48.876584 39.282614 0.13
0.5 13.836856 1660.4227 50.434911 38.068869 0.13
0.51666667 13.39051 1606.8613 51.996818 36.925336 0.13
0.53333333 12.972061 1556.6473 53.562006 35.846305 0.13
0.55 12.578972 1509.4766 55.130205 34.826643 0.13
0.56666667 12.209005 1465.0806 56.701176 33.861732 0.13
0.58333333 11.860179 1423.2215 58.274701 32.947402 0.13
0.6 11.530732 1383.6879 59.850586 32.079887 0.13
0.61666667 11.219093 1346.2912 61.428654 31.255772 0.13
0.63333333 10.923856 1310.8627 63.008748 30.471959 0.13008303
0.65 10.643759 1277.2511 64.590721 29.725632 0.13173564
0.66666667 10.377667 1245.32 66.174444 29.014222 0.13543455
0.68333333 10.124554 1214.9465 67.759796 28.335387 0.14101883
0.7 9.8834947 1186.0194 69.346668 27.686983 0.14827562
0.71666667 9.6536472 1158.4377 70.934961 27.067048 0.15697313
0.73333333 9.4342473 1132.1097 72.524584 26.473782 0.16688626
0.75 9.2245984 1106.9518 74.115452 25.905529 0.17781181
0.76666667 9.0240645 1082.8877 75.707489 25.360767 0.18957482
0.78333333 8.832064 1059.8477 77.300625 24.838092 0.20202905
0.8 8.6480635 1037.7676 78.894793 24.336207 0.21505446
0.81666667 8.4715731 1016.5888 80.489933 23.853915 0.22855341
0.83333333 8.3021423 996.25708 82.08599 23.390106 0.24244681
0.85 8.1393558 976.7227 83.682913 22.943752 0.25667061
0.86666667 7.9828303 957.93964 85.280652 22.513899 0.27117284
0.88333333 7.8322114 939.86537 86.879165 22.09966 0.28591112
0.9 7.6871709 922.46051 88.478409 21.700209 0.30085077
0.91666667 7.5474046 905.68856 90.078347 21.314778 0.31596322
0.93333333 7.41263 889.5156 91.678942 20.94265 0.33122482
0.95 7.2825842 873.91011 93.280161 20.583155 0.34661587
0.96666667 7.1570228 858.84274 94.881973 20.235667 0.36211987
0.98333333 7.0357177 844.28612 96.484349 19.899601 0.37772291
