P drop amp hand req
1 0.0014583333 0.0020833333 0.13 0.13
3.509434 0.0051179245 0.0073113208 0.13 0.13
6.0188679 0.0087775157 0.012539308 0.13 0.13
8.5283019 0.012437107 0.017767296 0.13 0.13
11.037736 0.016096698 0.022995283 0.13 0.13
13.54717 0.019756289 0.02822327 0.13 0.13
16.056604 0.023415881 0.033451258 0.13 0.13
18.566038 0.027075472 0.038679245 0.13 0.13
21.075472 0.030735063 0.043907233 0.13 0.13
23.584906 0.034394654 0.04913522 0.13 0.13
26.09434 0.038054245 0.054363208 0.13 0.13
28.603774 0.041713836 0.059591195 0.13 0.13
31.113208 0.045373428 0.064819182 0.13 0.13
33.622642 0.049033019 0.07004717 0.13 0.13
36.132075 0.05269261 0.075275157 0.13 0.13
38.641509 0.056352201 0.080503145 0.13 0.13
41.150943 0.060011792 0.085731132 0.13 0.13
43.660377 0.063671384 0.090959119 0.13 0.13
46.169811 0.067330975 0.096187107 0.13 0.13
48.679245 0.070990566 0.10141509 0.13 0.13
51.188679 0.074650157 0.10664308 0.13 0.13
53.698113 0.078309748 0.11187107 0.13 0.13
56.207547 0.08196934 0.11709906 0.13 0.13
58.716981 0.085628931 0.12232704 0.13 0.13
61.226415 0.089288522 0.12755503 0.13 0.13
63.735849 0.092948113 0.13278302 0.13 0.13278302
66.245283 0.096607704 0.13801101 0.13 0.13801101
68.754717 0.1002673 0.14323899 0.13 0.14323899
71.264151 0.10392689 0.14846698 0.13 0.14846698
73.773585 0.10758648 0.15369497 0.13 0.15369497
76.283019 0.11124607 0.15892296 0.13 0.15892296
78.792453 0.11490566 0.16415094 0.13 0.16415094
81.301887 0.11856525 0.16937893 0.13 0.16937893
83.811321 0.12222484 0.17460692 0.13 0.17460692
86.320755 0.12588443 0.17983491 0.13 0.17983491
88.830189 0.12954403 0.18506289 0.13 0.18506289
91.339623 0.13320362 0.19029088 0.13 0.19029088
93.849057 0.13686321 0.19551887 0.13 0.19551887
96.358491 0.1405228 0.20074686 0.13 0.20074686
98.867925 0.14418239 0.20597484 0.13 0.20597484
101.37736 0.14784198 0.21120283 0.13 0.21120283
103.88679 0.15150157 0.21643082 0.13 0.21643082
106.39623 0.15516116 0.22165881 0.13 0.22165881
108.90566 0.15882075 0.22688679 0.13 0.22688679
111.41509 0.16248035 0.23211478 0.13 0.23211478
113.92453 0.16613994 0.23734277 0.13 0.23734277
116.43396 0.16979953 0.24257075 0.13 0.24257075
118.9434 0.17345912 0.24779874 0.13 0.24779874
121.45283 0.17711871 0.25302673 0.13 0.25302673
123.96226 0.1807783 0.25825472 0.13 0.25825472
126.4717 0.18443789 0.2634827 0.13 0.2634827
128.98113 0.18809748 0.26871069 0.13 0.26871069
131.49057 0.19175708 0.27393868 0.13 0.27393868
134 0.19541667 0.27916667 0.13 0.27916667
136.50943 0.19907626 0.28439465 0.13 0.28439465
139.01887 0.20273585 0.28962264 0.13 0.28962264
141.5283 0.20639544 0.29485063 0.13 0.29485063
144.03774 0.21005503 0.30007862 0.13 0.30007862
146.54717 0.21371462 0.3053066 0.13 0.3053066
149.0566 0.21737421 0.31053459 0.13 0.31053459
151.56604 0.22103381 0.31576258 0.13 0.31576258
154.07547 0.2246934 0.32099057 0.13 0.32099057
156.58491 0.22835299 0.32621855 0.13 0.32621855
159.09434 0.23201258 0.33144654 0.13 0.33144654
161.60377 0.23567217 0.33667453 0.13 0.33667453
164.11321 0.23933176 0.34190252 0.13 0.34190252
166.62264 0.24299135 0.3471305 0.13 0.3471305
169.13208 0.24665094 0.35235849 0.13 0.35235849
171.64151 0.25031053 0.35758648 0.13 0.35758648
174.15094 0.25397013 0.36281447 0.13 0.36281447
176.66038 0.25762972 0.36804245 0.13 0.36804245
179.16981 0.26128931 0.37327044 0.13 0.37327044
181.67925 0.2649489 0.37849843 0.13 0.37849843
184.18868 0.26860849 0.38372642 0.13 0.38372642
186.69811 0.27226808 0.3889544 0.13 0.3889544
189.20755 0.27592767 0.39418239 0.13 0.39418239
191.71698 0.27958726 0.39941038 0.13 0.39941038
194.22642 0.28324686 0.40463836 0.13 0.40463836
196.73585 0.28690645 0.40986635 0.13 0.40986635
199.24528 0.29056604 0.41509434 0.13 0.41509434
201.75472 0.29422563 0.42032233 0.13 0.42032233
204.26415 0.29788522 0.42555031 0.13 0.42555031
206.77358 0.30154481 0.4307783 0.13 0.4307783
209.28302 0.3052044 0.43600629 0.13 0.43600629
211.79245 0.30886399 0.44123428 0.13 0.44123428
214.30189 0.31252358 0.44646226 0.13 0.44646226
216.81132 0.31618318 0.45169025 0.13 0.45169025
219.32075 0.31984277 0.45691824 0.13 0.45691824
221.83019 0.32350236 0.46214623 0.13 0.46214623
224.33962 0.32716195 0.46737421 0.13 0.46737421
226.84906 0.33082154 0.4726022 0.13 0.4726022
229.35849 0.33448113 0.47783019 0.13 0.47783019
231.86792 0.33814072 0.48305818 0.13 0.48305818
234.37736 0.34180031 0.48828616 0.13 0.48828616
236.88679 0.34545991 0.49351415 0.13 0.49351415
239.39623 0.3491195 0.49874214 0.13 0.49874214
241.90566 0.35277909 0.50397013 0.13 0.50397013
244.41509 0.35643868 0.50919811 0.13 0.50919811
246.92453 0.36009827 0.5144261 0.13 0.5144261
249.43396 0.36375786 0.51965409 0.13 0.51965409
251.9434 0.36741745 0.52488208 0.13 0.52488208
254.45283 0.37107704 0.53011006 0.13 0.53011006
256.96226 0.37473664 0.53533805 0.13 0.53533805
259.4717 0.37839623 0.54056604 0.13 0.54056604
261.98113 0.38205582 0.54579403 0.13 0.54579403
264.49057 0.38571541 0.55102201 0.13 0.55102201
267 0.389375 0.55625 0.13 0.55625
269.50943 0.39303459 0.56147799 0.13 0.56147799
272.01887 0.39669418 0.56670597 0.13 0.56670597
274.5283 0.40035377 0.57193396 0.13 0.57193396
277.03774 0.40401336 0.57716195 0.13 0.57716195
279.54717 0.40767296 0.58238994 0.13 0.58238994
282.0566 0.41133255 0.58761792 0.13 0.58761792
284.56604 0.41499214 0.59284591 0.13 0.59284591
287.07547 0.41865173 0.5980739 0.13 0.5980739
289.58491 0.42231132 0.60330189 0.13 0.60330189
292.09434 0.42597091 0.60852987 0.13 0.60852987
294.60377 0.4296305 0.61375786 0.13 0.61375786
297.11321 0.43329009 0.61898585 0.13 0.61898585
299.62264 0.43694969 0.62421384 0.13 0.62421384
302.13208 0.44060928 0.62944182 0.13 0.62944182
304.64151 0.44426887 0.63466981 0.13 0.63466981
307.15094 0.44792846 0.6398978 0.13 0.6398978
309.66038 0.45158805 0.64512579 0.13 0.64512579
312.16981 0.45524764 0.65035377 0.13 0.65035377
314.67925 0.45890723 0.65558176 0.13 0.65558176
317.18868 0.46256682 0.66080975 0.13 0.66080975
319.69811 0.46622642 0.66603774 0.13 0.66603774
322.20755 0.46988601 0.67126572 0.13 0.67126572
324.71698 0.4735456 0.67649371 0.13 0.67649371
327.22642 0.47720519 0.6817217 0.13 0.6817217
329.73585 0.48086478 0.68694969 0.13 0.68694969
332.24528 0.48452437 0.69217767 0.13 0.69217767
334.75472 0.48818396 0.69740566 0.13 0.69740566
337.26415 0.49184355 0.70263365 0.13 0.70263365
339.77358 0.49550314 0.70786164 0.13 0.70786164
342.28302 0.49916274 0.71308962 0.13 0.71308962
344.79245 0.50282233 0.71831761 0.13 0.71831761
347.30189 0.50648192 0.7235456 0.13 0.7235456
349.81132 0.51014151 0.72877358 0.13 0.72877358
352.32075 0.5138011 0.73400157 0.13 0.73400157
354.83019 0.51746069 0.73922956 0.13 0.73922956
357.33962 0.52112028 0.74445755 0.13 0.74445755
359.84906 0.52477987 0.74968553 0.13 0.74968553
362.35849 0.52843947 0.75491352 0.13 0.75491352
364.86792 0.53209906 0.76014151 0.13 0.76014151
367.37736 0.53575865 0.7653695 0.13 0.7653695
369.88679 0.53941824 0.77059748 0.13 0.77059748
372.39623 0.54307783 0.77582547 0.13 0.77582547
374.90566 0.54673742 0.78105346 0.13 0.78105346
377.41509 0.55039701 0.78628145 0.13 0.78628145
379.92453 0.5540566 0.79150943 0.13 0.79150943
382.43396 0.55771619 0.79673742 0.13 0.79673742
384.9434 0.56137579 0.80196541 0.13 0.80196541
387.45283 0.56503538 0.8071934 0.13 0.8071934
389.96226 0.56869497 0.81242138 0.13 0.81242138
392.4717 0.57235456 0.81764937 0.13 0.81764937
394.98113 0.57601415 0.82287736 0.13 0.82287736
397.49057 0.57967374 0.82810535 0.13 0.82810535
400 0.58333333 0.83333333 0.13 0.83333333
