t track lag clear P screen tilt
0 0 0 0.73349104 106.04775 0.2263616 0.2263616
0.04 0.040121465 0.038954641 0.73386873 106.04788 0.2056876 0.31110825
0.08 0.16307239 0.15879214 0.73419293 106.04886 0.14166308 0.49094218
0.12 0.37468724 0.36595791 0.73443067 106.0511 0.076918141 0.69274673
0.16 0.68038017 0.6663415 0.73455858 106.05456 0.031106734 0.89153935
0.2 1.082593 1.0627526 0.73456619 106.05918 0.016288656 1.0793574
0.24 1.5798159 1.553964 0.73445441 106.06499 0.025296745 1.2549611
0.28 2.1666802 2.1348215 0.73423207 106.07207 0.030973115 1.420048
0.32 2.8345993 2.7968991 0.73391229 106.08056 0.032362562 1.5773225
0.36 3.572578 3.5293201 0.73350992 106.09061 0.031621769 1.7295234
0.4 4.3679726 4.3195267 0.73303986 106.10238 0.030401385 1.879076
0.44 5.207118 5.1539163 0.73251649 106.11609 0.029723398 2.0281231
0.48 6.0758236 6.0183444 0.7319534 106.13205 0.030151337 2.1787349
0.52 6.9597747 6.8985332 0.73136341 106.15067 0.031969024 2.3331682
0.56 7.8448888 7.7804339 0.73075845 106.17254 0.035320252 2.494109
0.6 8.7176643 8.6505827 0.73014943 106.19852 0.040304877 2.6648913
0.64 9.5655495 9.4964768 0.72954582 106.22979 0.047039371 2.8497095
0.68 10.377351 10.306993 0.72895522 106.26813 0.05569352 3.0538573
0.72 11.143702 11.072868 0.72838286 106.31605 0.066513521 3.2840197
0.76 11.857618 11.78727 0.72783112 106.37722 0.079837432 3.5486323
0.8 12.515182 12.446511 0.72729907 106.45697 0.096105234 3.8583056
0.84 13.116436 13.050964 0.7267821 106.56304 0.11586386 4.2262951
0.88 13.666561 13.606295 0.72627161 106.70662 0.13976656 4.6689798
0.92 14.177483 14.125111 0.7257549 106.90392 0.16856417 5.2063093
0.96 14.670002 14.629161 0.72521521 107.17822 0.20308308 5.8621726
1 15.176499 15.152091 0.72463209 107.56267 0.24417962 6.6646502
1.04 15.744071 15.742585 0.72398235 108.10391 0.29265475 7.6460979
1.08 16.437489 16.467251 0.72324178 108.86635 0.34910514 8.8429758
1.12 17.340818 17.412013 0.72238825 109.93669 0.41367989 10.295257
1.16 18.556007 18.680364 0.72140686 111.42751 0.48571016 12.045144
1.2 20.168915 20.38827 0.72028178 112.84025 0.51302795 14.066285
1.24 22.004098 22.683175 0.71898308 114.31491 0.30541542 15.877863
1.28 23.653574 25.855223 0.71775077 115.42079 0.35334017 17.082578
1.32 24.728289 30.506662 0.71710351 116.20975 0.66846266 17.614834
1.36 24.97844 37.659348 0.71765259 116.29886 0.83503189 17.604206
1.4 24.300628 48.726305 0.71994688 116.06709 0.83671635 17.250323
1.44 22.696062 65.372347 0.72445299 115.77728 0.75861338 16.739815
1.48 20.224274 89.374565 0.73156958 115.53017 0.69848817 16.209751
1.52 16.973762 122.54118 0.74163899 115.3524 0.70598257 15.744165
1.56 13.061647 166.64351 0.75494772 115.24632 0.76654471 15.386875
1.6 8.7093277 223.30717 0.77171507 115.20473 0.8488951 15.158035
1.64 4.8425896 293.84713 0.79207081 115.21356 0.93844757 15.067241
1.68 5.6870411 379.05701 0.81602276 115.25439 1.035455 15.120153
1.72 10.925751 478.98042 0.84341783 115.31092 1.1468958 15.318516
1.76 17.252641 592.71998 0.87382731 110.30262 1.2767907 15.653627
1.8 23.978397 718.3385 0.90621163 111.2313 1.4084689 16.099736
1.84 30.779736 852.82045 0.9317263 113.07282 1.5356271 16.627375
1.88 37.380003 992.30524 0.95322532 113.86006 1.6653127 17.195491
1.92 43.520424 1132.4788 0.97326055 113.76388 1.807325 17.748311
1.96 48.958418 1269.0383 0.99098507 113.37779 1.967848 18.22289
2 53.472855 1398.1425 1.0057926 113.09694 2.1466909 18.560253
2.04 56.872451 1516.7515 1.0173759 113.05478 2.3360402 18.714487
2.08 59.004908 1622.7958 1.0256914 113.19695 2.5198118 18.658098
2.12 59.765575 1715.1717 1.0308526 113.36565 2.6745805 18.38479
2.16 59.106077 1793.6042 1.0330097 113.39545 2.7737234 17.91079
2.2 57.04341 1858.4445 1.0322701 113.20583 2.7949132 17.273866
2.24 53.668414 1910.4587 1.0286869 112.83688 2.7283702 16.527899
2.28 49.151953 1950.6459 1.0223037 112.40488 2.5816759 15.73269
2.32 43.750102 1980.1024 1.0132129 112.02206 2.3782645 14.942322
2.36 37.816387 1999.9285 1.0015925 111.74311 2.1502235 14.197187
2.4 31.837978 2011.1721 0.98770596 111.56105 1.9289282 13.522568
2.44 26.516043 2014.7966 0.97187434 111.43529 1.7374533 12.932521
2.48 22.84662 2011.6649 0.95443746 111.32324 1.5871269 12.435286
2.52 21.868959 2002.5338 0.93571969 111.19872 1.4785089 12.036935
2.56 23.781127 1988.0534 0.91600743 111.0547 1.405326 11.742224
2.6 27.668558 1968.7706 0.89553919 110.89718 1.3590206 11.553493
2.64 32.424897 1945.1357 0.87450515 110.73735 1.3320201 11.469134
2.68 37.296955 1917.5096 0.85305259 110.58611 1.3191374 11.48285
2.72 41.847517 1886.1726 0.83128337 110.08899 1.3182169 11.582401
2.76 46.012167 1851.3505 0.80763357 109.74292 1.4309589 11.495746
2.8 50.027335 1813.2934 0.77964493 108.51166 1.7484009 10.850583
2.84 53.915522 1772.3696 0.74889428 107.25688 1.9711623 9.910006
2.88 57.477882 1729.0503 0.71876003 106.75628 1.8636797 9.1788979
2.92 60.387469 1683.8185 0.6919293 106.6805 1.4690145 8.9205178
2.96 62.300542 1637.0849 0.66957889 106.63471 0.9719719 8.9850796
3 62.948322 1589.1384 0.65187892 106.42145 0.55532688 9.0873766
3.04 62.194907 1540.1359 0.63872416 107.355 0.32813079 9.0852844
3.08 60.044262 1490.1169 0.6300198 105.85246 0.28209112 9.0156825
3.12 56.08042 1439.0748 0.62565492 107.96951 0.50235935 8.5233656
3.16 50.176234 1387.0295 0.62470226 113.37904 0.7613832 7.6273836
3.2 42.771909 1334.0775 0.62608378 116.52134 0.77096729 6.9061524
3.24 34.36234 1280.381 0.62921096 117.12709 0.71967574 6.6685752
3.28 25.450214 1226.0969 0.63389216 116.21371 0.76754884 6.9133797
3.32 16.650777 1171.3273 0.64011591 114.80095 0.84088898 7.4880845
3.36 9.50146 1116.1014 0.64787275 113.54429 0.85122432 8.2559828
3.4 9.3113127 1060.3811 0.6570622 112.6752 0.79294996 9.1348555
3.44 15.810569 1004.0757 0.66747459 112.1945 0.69754656 10.075622
3.48 23.471627 947.05713 0.67882113 112.03421 0.59663012 11.044164
3.52 30.844356 889.17141 0.69078429 112.03336 0.5082126 12.014846
3.56 37.581581 830.25176 0.70305406 113.14617 0.2796964 12.91797
3.6 43.650456 770.19578 0.71504944 115.50632 0.40085409 13.603055
3.64 49.02845 709.13404 0.72565487 117.73068 1.0538132 14.187927
3.68 53.688399 647.53762 0.73355751 119.48419 1.4156452 15.094816
3.72 57.599016 586.19014 0.73777501 120.35439 1.3289237 16.589441
3.76 60.689617 526.05925 0.73802222 120.06037 0.94399103 18.422766
3.8 62.781978 468.13125 0.73428253 118.49205 0.80057156 20.04094
3.84 63.662196 413.28219 0.72700048 115.70351 1.1380815 21.037388
